Method,Type,hypothesis,statistic,p-value
rdm_maha,3-0.5,Different,0.0,7.556929455863566e-10
rdm_maha,3-0.5,Better,0.0,0.9999999996221536
rdm_maha,3-0.5,Worst,0.0,3.778464727931783e-10
rdm_maha,3-0.25,Different,0.0,7.556929455863566e-10
rdm_maha,3-0.25,Better,0.0,0.9999999996221536
rdm_maha,3-0.25,Worst,0.0,3.778464727931783e-10
rdm_maha,3-0.125,Different,0.0,7.556929455863566e-10
rdm_maha,3-0.125,Better,0.0,0.9999999996221536
rdm_maha,3-0.125,Worst,0.0,3.778464727931783e-10
rdm_maha,5-0.5,Different,0.0,7.556929455863566e-10
rdm_maha,5-0.5,Better,0.0,0.9999999996221536
rdm_maha,5-0.5,Worst,0.0,3.778464727931783e-10
rdm_maha,5-0.25,Different,0.0,7.556929455863566e-10
rdm_maha,5-0.25,Better,0.0,0.9999999996221536
rdm_maha,5-0.25,Worst,0.0,3.778464727931783e-10
rdm_maha,5-0.125,Different,0.0,7.556929455863566e-10
rdm_maha,5-0.125,Better,0.0,0.9999999996221536
rdm_maha,5-0.125,Worst,0.0,3.778464727931783e-10
rdm_maha,10-0.5,Different,0.0,7.556929455863566e-10
rdm_maha,10-0.5,Better,0.0,0.9999999996221536
rdm_maha,10-0.5,Worst,0.0,3.778464727931783e-10
rdm_maha,10-0.25,Different,0.0,7.556929455863566e-10
rdm_maha,10-0.25,Better,0.0,0.9999999996221536
rdm_maha,10-0.25,Worst,0.0,3.778464727931783e-10
rdm_maha,10-0.125,Different,3.0,9.06805772149548e-10
rdm_maha,10-0.125,Better,3.0,0.9999999995465971
rdm_maha,10-0.125,Worst,3.0,4.53402886074774e-10
random,3-0.5,Different,0.0,7.556929455863566e-10
random,3-0.5,Better,0.0,0.9999999996221536
random,3-0.5,Worst,0.0,3.778464727931783e-10
random,3-0.25,Different,0.0,7.556929455863566e-10
random,3-0.25,Better,0.0,0.9999999996221536
random,3-0.25,Worst,0.0,3.778464727931783e-10
random,3-0.125,Different,0.0,7.556929455863566e-10
random,3-0.125,Better,0.0,0.9999999996221536
random,3-0.125,Worst,0.0,3.778464727931783e-10
random,5-0.5,Different,0.0,7.556929455863566e-10
random,5-0.5,Better,0.0,0.9999999996221536
random,5-0.5,Worst,0.0,3.778464727931783e-10
random,5-0.25,Different,0.0,7.556929455863566e-10
random,5-0.25,Better,0.0,0.9999999996221536
random,5-0.25,Worst,0.0,3.778464727931783e-10
random,5-0.125,Different,0.0,7.556929455863566e-10
random,5-0.125,Better,0.0,0.9999999996221536
random,5-0.125,Worst,0.0,3.778464727931783e-10
random,10-0.5,Different,0.0,7.556929455863566e-10
random,10-0.5,Better,0.0,0.9999999996221536
random,10-0.5,Worst,0.0,3.778464727931783e-10
random,10-0.25,Different,0.0,7.556929455863566e-10
random,10-0.25,Better,0.0,0.9999999996221536
random,10-0.25,Worst,0.0,3.778464727931783e-10
random,10-0.125,Different,3.0,9.06805772149548e-10
random,10-0.125,Better,3.0,0.9999999995465971
random,10-0.125,Worst,3.0,4.53402886074774e-10
mahalanobis,3-0.5,Different,334.0,0.0033921289197132603
mahalanobis,3-0.5,Better,941.0,0.0016960644598566302
mahalanobis,3-0.5,Worst,941.0,0.9983039355401434
mahalanobis,3-0.25,Different,312.5,0.001705025055513018
mahalanobis,3-0.25,Better,962.5,0.000852512527756509
mahalanobis,3-0.25,Worst,962.5,0.9991474874722435
mahalanobis,3-0.125,Different,188.0,1.4303567613171629e-05
mahalanobis,3-0.125,Better,1087.0,7.1517838065858145e-06
mahalanobis,3-0.125,Worst,1087.0,0.9999928482161934
mahalanobis,5-0.5,Different,563.0,0.4720366364421994
mahalanobis,5-0.5,Better,712.0,0.2360183182210997
mahalanobis,5-0.5,Worst,712.0,0.7639816817789002
mahalanobis,5-0.25,Different,486.0,0.14361198867269973
mahalanobis,5-0.25,Better,789.0,0.07180599433634986
mahalanobis,5-0.25,Worst,789.0,0.9281940056636502
mahalanobis,5-0.125,Different,509.5,0.21659729326911092
mahalanobis,5-0.125,Better,765.5,0.10829864663455546
mahalanobis,5-0.125,Worst,765.5,0.8917013533654445
mahalanobis,10-0.5,Different,523.0,0.26902944110197013
mahalanobis,10-0.5,Better,523.0,0.8654852794490149
mahalanobis,10-0.5,Worst,523.0,0.13451472055098507
mahalanobis,10-0.25,Different,472.5,0.11120708901662912
mahalanobis,10-0.25,Better,802.5,0.05560354450831456
mahalanobis,10-0.25,Worst,802.5,0.9443964554916855
mahalanobis,10-0.125,Different,523.0,0.26902944110197013
mahalanobis,10-0.125,Better,523.0,0.8654852794490149
mahalanobis,10-0.125,Worst,523.0,0.13451472055098507
