Dataset,Method,Test,Result
Iris,"['rdm_maha', '3-0.25']",Different,1
Iris,"['rdm_maha', '3-0.25']",Better,1
Iris,"['rdm_maha', '3-0.25']",Worst,0
Iris,"['random', '3-0.25']",Different,1
Iris,"['random', '3-0.25']",Better,1
Iris,"['random', '3-0.25']",Worst,0
Iris,"['rdm_maha', '3-0.125']",Different,1
Iris,"['rdm_maha', '3-0.125']",Better,1
Iris,"['rdm_maha', '3-0.125']",Worst,0
Iris,"['random', '3-0.125']",Different,1
Iris,"['random', '3-0.125']",Better,1
Iris,"['random', '3-0.125']",Worst,0
Iris,"['rdm_maha', '5-0.5']",Different,1
Iris,"['rdm_maha', '5-0.5']",Better,0
Iris,"['rdm_maha', '5-0.5']",Worst,1
Iris,"['rdm_maha', '5-0.25']",Different,1
Iris,"['rdm_maha', '5-0.25']",Better,1
Iris,"['rdm_maha', '5-0.25']",Worst,0
Iris,"['random', '5-0.25']",Different,1
Iris,"['random', '5-0.25']",Better,1
Iris,"['random', '5-0.25']",Worst,0
Iris,"['rdm_maha', '5-0.125']",Different,1
Iris,"['rdm_maha', '5-0.125']",Better,1
Iris,"['rdm_maha', '5-0.125']",Worst,0
Iris,"['random', '5-0.125']",Different,1
Iris,"['random', '5-0.125']",Better,1
Iris,"['random', '5-0.125']",Worst,0
Iris,"['rdm_maha', '10-0.5']",Different,1
Iris,"['rdm_maha', '10-0.5']",Better,0
Iris,"['rdm_maha', '10-0.5']",Worst,1
Iris,"['random', '10-0.5']",Different,1
Iris,"['random', '10-0.5']",Better,0
Iris,"['random', '10-0.5']",Worst,1
Iris,"['mahalanobis', '10-0.5']",Different,1
Iris,"['mahalanobis', '10-0.5']",Better,1
Iris,"['mahalanobis', '10-0.5']",Worst,0
Iris,"['rdm_maha', '10-0.125']",Different,1
Iris,"['rdm_maha', '10-0.125']",Better,1
Iris,"['rdm_maha', '10-0.125']",Worst,0
Iris,"['rdm_maha', '3-0.5']",Different,0
Iris,"['random', '3-0.5']",Different,0
Iris,"['mahalanobis', '3-0.5']",Different,0
Iris,"['mahalanobis', '3-0.25']",Different,0
Iris,"['mahalanobis', '3-0.125']",Different,0
