Method,Type,hypothesis,statistic,p-value
rdm_maha,3-0.5,Different,148.0,2.2979860003036705e-06
rdm_maha,3-0.5,Better,1127.0,1.1489930001518353e-06
rdm_maha,3-0.5,Worst,1127.0,0.9999988510069998
rdm_maha,3-0.25,Different,154.0,3.050941426780099e-06
rdm_maha,3-0.25,Better,1121.0,1.5254707133900496e-06
rdm_maha,3-0.25,Worst,1121.0,0.9999984745292866
rdm_maha,3-0.125,Different,228.5,7.874397717551394e-05
rdm_maha,3-0.125,Better,1046.5,3.937198858775697e-05
rdm_maha,3-0.125,Worst,1046.5,0.9999606280114123
rdm_maha,5-0.5,Different,207.0,3.242413897703721e-05
rdm_maha,5-0.5,Better,1068.0,1.6212069488518604e-05
rdm_maha,5-0.5,Worst,1068.0,0.9999837879305115
rdm_maha,5-0.25,Different,273.5,0.0004417561908513106
rdm_maha,5-0.25,Better,1001.5,0.0002208780954256553
rdm_maha,5-0.25,Worst,1001.5,0.9997791219045743
rdm_maha,5-0.125,Different,408.5,0.027063492176047897
rdm_maha,5-0.125,Better,866.5,0.013531746088023948
rdm_maha,5-0.125,Worst,866.5,0.986468253911976
rdm_maha,10-0.5,Different,285.5,0.0006789181154886123
rdm_maha,10-0.5,Better,989.5,0.00033945905774430615
rdm_maha,10-0.5,Worst,989.5,0.9996605409422556
rdm_maha,10-0.25,Different,321.5,0.00228509329229136
rdm_maha,10-0.25,Better,953.5,0.00114254664614568
rdm_maha,10-0.25,Worst,953.5,0.9988574533538543
rdm_maha,10-0.125,Different,444.5,0.06244756720056984
rdm_maha,10-0.125,Better,830.5,0.03122378360028492
rdm_maha,10-0.125,Worst,830.5,0.9687762163997151
random,3-0.5,Different,162.0,4.42961522250766e-06
random,3-0.5,Better,1113.0,2.21480761125383e-06
random,3-0.5,Worst,1113.0,0.9999977851923888
random,3-0.25,Different,246.0,0.00015729600133906394
random,3-0.25,Better,1029.0,7.864800066953197e-05
random,3-0.25,Worst,1029.0,0.9999213519993305
random,3-0.125,Different,273.5,0.0004417561908513106
random,3-0.125,Better,1001.5,0.0002208780954256553
random,3-0.125,Worst,1001.5,0.9997791219045743
random,5-0.5,Different,236.0,0.00010627871066318288
random,5-0.5,Better,1039.0,5.313935533159144e-05
random,5-0.5,Worst,1039.0,0.9999468606446684
random,5-0.25,Different,276.5,0.0004924431767546015
random,5-0.25,Better,998.5,0.00024622158837730074
random,5-0.25,Worst,998.5,0.9997537784116227
random,5-0.125,Different,427.5,0.0426431365772638
random,5-0.125,Better,847.5,0.0213215682886319
random,5-0.125,Worst,847.5,0.9786784317113681
random,10-0.5,Different,282.5,0.0006104825384030403
random,10-0.5,Better,992.5,0.00030524126920152017
random,10-0.5,Worst,992.5,0.9996947587307985
random,10-0.25,Different,301.5,0.0011807013318617628
random,10-0.25,Better,973.5,0.0005903506659308814
random,10-0.25,Worst,973.5,0.9994096493340692
random,10-0.125,Different,445.5,0.06381772958847688
random,10-0.125,Better,829.5,0.03190886479423844
random,10-0.125,Worst,829.5,0.9680911352057615
mahalanobis,3-0.5,Different,590.0,0.624163852880361
mahalanobis,3-0.5,Better,590.0,0.6879180735598195
mahalanobis,3-0.5,Worst,590.0,0.3120819264401805
mahalanobis,3-0.25,Different,435.0,0.03770785434738528
mahalanobis,3-0.25,Better,435.0,0.9811460728263074
mahalanobis,3-0.25,Worst,435.0,0.01885392717369264
mahalanobis,3-0.125,Different,451.5,0.052333042066443944
mahalanobis,3-0.125,Better,451.5,0.9738334789667781
mahalanobis,3-0.125,Worst,451.5,0.026166521033221972
mahalanobis,5-0.5,Different,596.5,0.6754374623518598
mahalanobis,5-0.5,Better,596.5,0.6622812688240701
mahalanobis,5-0.5,Worst,596.5,0.3377187311759299
mahalanobis,5-0.25,Different,637.0,0.9956545054038674
mahalanobis,5-0.25,Better,638.0,0.4978272527019337
mahalanobis,5-0.25,Worst,638.0,0.5021727472980664
mahalanobis,5-0.125,Different,564.0,0.4272002952725773
mahalanobis,5-0.125,Better,564.0,0.7863998523637113
mahalanobis,5-0.125,Worst,564.0,0.21360014763628865
mahalanobis,10-0.5,Different,587.5,0.592012781165139
mahalanobis,10-0.5,Better,687.5,0.2960063905825695
mahalanobis,10-0.5,Worst,687.5,0.7039936094174305
mahalanobis,10-0.25,Different,612.5,0.7835304977741095
mahalanobis,10-0.25,Better,662.5,0.3917652488870548
mahalanobis,10-0.25,Worst,662.5,0.6082347511129452
mahalanobis,10-0.125,Different,612.5,0.7835304977741095
mahalanobis,10-0.125,Better,612.5,0.6082347511129452
mahalanobis,10-0.125,Worst,612.5,0.3917652488870548
