Method,Type,hypothesis,statistic,p-value
rdm_maha,3-0.5,Different,236.0,0.0001062688573687499
rdm_maha,3-0.5,Better,1039.0,5.313442868437495e-05
rdm_maha,3-0.5,Worst,1039.0,0.9999468655713156
rdm_maha,3-0.25,Different,238.0,0.00011501866886210253
rdm_maha,3-0.25,Better,1037.0,5.750933443105127e-05
rdm_maha,3-0.25,Worst,1037.0,0.999942490665569
rdm_maha,3-0.125,Different,166.0,5.324608525775227e-06
rdm_maha,3-0.125,Better,1109.0,2.6623042628876134e-06
rdm_maha,3-0.125,Worst,1109.0,0.9999973376957371
rdm_maha,5-0.5,Different,135.0,1.2298152190805743e-06
rdm_maha,5-0.5,Better,1140.0,6.149076095402872e-07
rdm_maha,5-0.5,Worst,1140.0,0.9999993850923905
rdm_maha,5-0.25,Different,149.0,2.4096796563214802e-06
rdm_maha,5-0.25,Better,1126.0,1.2048398281607401e-06
rdm_maha,5-0.25,Worst,1126.0,0.9999987951601719
rdm_maha,5-0.125,Different,283.0,0.0006213324953273364
rdm_maha,5-0.125,Better,992.0,0.0003106662476636682
rdm_maha,5-0.125,Worst,992.0,0.9996893337523364
rdm_maha,10-0.5,Different,454.5,0.07730189691991567
rdm_maha,10-0.5,Better,820.5,0.03865094845995783
rdm_maha,10-0.5,Worst,820.5,0.9613490515400421
rdm_maha,10-0.25,Different,414.5,0.03134177437513582
rdm_maha,10-0.25,Better,860.5,0.01567088718756791
rdm_maha,10-0.25,Worst,860.5,0.9843291128124321
rdm_maha,10-0.125,Different,263.0,0.00030014605388151567
rdm_maha,10-0.125,Better,1012.0,0.00015007302694075784
rdm_maha,10-0.125,Worst,1012.0,0.9998499269730592
random,3-0.5,Different,145.0,1.9916725452983955e-06
random,3-0.5,Better,1130.0,9.958362726491977e-07
random,3-0.5,Worst,1130.0,0.9999990041637273
random,3-0.25,Different,295.0,0.0009455437739258553
random,3-0.25,Better,980.0,0.00047277188696292767
random,3-0.25,Worst,980.0,0.9995272281130371
random,3-0.125,Different,280.0,0.0005583744681927959
random,3-0.125,Better,995.0,0.00027918723409639794
random,3-0.125,Worst,995.0,0.9997208127659036
random,5-0.5,Different,86.0,1.016310324350643e-07
random,5-0.5,Better,1189.0,5.081551621753215e-08
random,5-0.5,Worst,1189.0,0.9999999491844838
random,5-0.25,Different,179.0,9.59724863145825e-06
random,5-0.25,Better,1096.0,4.798624315729125e-06
random,5-0.25,Worst,1096.0,0.9999952013756843
random,5-0.125,Different,402.5,0.02329589304839738
random,5-0.125,Better,872.5,0.01164794652419869
random,5-0.125,Worst,872.5,0.9883520534758014
random,10-0.5,Different,306.0,0.001373980847475186
random,10-0.5,Better,969.0,0.000686990423737593
random,10-0.5,Worst,969.0,0.9993130095762625
random,10-0.25,Different,395.0,0.019235582010228156
random,10-0.25,Better,880.0,0.009617791005114078
random,10-0.25,Worst,880.0,0.9903822089948859
random,10-0.125,Different,307.5,0.001444261263534394
random,10-0.125,Better,967.5,0.000722130631767197
random,10-0.125,Worst,967.5,0.9992778693682328
mahalanobis,3-0.5,Different,571.5,0.5239160512147046
mahalanobis,3-0.5,Better,703.5,0.2619580256073523
mahalanobis,3-0.5,Worst,703.5,0.7380419743926476
mahalanobis,3-0.25,Different,354.0,0.006145229906497892
mahalanobis,3-0.25,Better,354.0,0.996927385046751
mahalanobis,3-0.25,Worst,354.0,0.003072614953248946
mahalanobis,3-0.125,Different,428.5,0.04346093171208731
mahalanobis,3-0.125,Better,428.5,0.9782695341439563
mahalanobis,3-0.125,Worst,428.5,0.021730465856043654
mahalanobis,5-0.5,Different,632.0,0.9576452120382866
mahalanobis,5-0.5,Better,632.0,0.5211773939808567
mahalanobis,5-0.5,Worst,632.0,0.4788226060191433
mahalanobis,5-0.25,Different,534.0,0.31709017238722326
mahalanobis,5-0.25,Better,534.0,0.8414549138063884
mahalanobis,5-0.25,Worst,534.0,0.15854508619361163
mahalanobis,5-0.125,Different,489.0,0.15071386405852166
mahalanobis,5-0.125,Better,489.0,0.9246430679707391
mahalanobis,5-0.125,Worst,489.0,0.07535693202926083
mahalanobis,10-0.5,Different,514.5,0.23495739782286285
mahalanobis,10-0.5,Better,760.5,0.11747869891143142
mahalanobis,10-0.5,Worst,760.5,0.8825213010885686
mahalanobis,10-0.25,Different,628.0,0.9268524525871926
mahalanobis,10-0.25,Better,647.0,0.4634262262935963
mahalanobis,10-0.25,Worst,647.0,0.5365737737064037
mahalanobis,10-0.125,Different,604.0,0.7461552889530456
mahalanobis,10-0.125,Better,604.0,0.6269223555234772
mahalanobis,10-0.125,Worst,604.0,0.3730776444765228
