method,split seed,p,selection,labels,improvement
OBMA,0,"(0.5, 144)","[[0, 2, 3, 4, 5, 6, 7, 10], [1, 2, 4, 5, 6, 8, 9, 12, 14, 16, 17, 19, 20, 29, 31, 33, 34, 36, 37], [1, 3, 4, 6, 7, 8, 17, 18, 19, 21, 23, 24, 26, 29, 32, 33, 34, 35, 36, 38, 40], [0, 1, 3, 4, 5, 6, 11, 13, 15, 16, 17, 18, 20, 22, 31, 32, 34, 37, 38, 40, 41, 42, 45], [1, 2, 3, 4, 5, 7, 8, 9, 11, 12, 19, 20, 22, 23, 24, 25, 27, 29, 33, 34, 36, 37, 44, 48, 49], [0, 3, 4, 5, 7, 13, 15, 16, 17, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 31, 32, 34, 37, 38, 40, 41, 43, 44, 48, 49, 53, 55, 56, 57, 64, 70, 71, 72, 73, 74, 75, 81, 82, 88, 90, 91]]","[6, 4, 5, 2, 3, 1]",[nan]
OBMA,0,"(0.25, 72)","[[0, 3, 4, 5], [4, 5, 6, 9, 17, 19, 31, 33, 36, 37], [1, 3, 6, 7, 18, 23, 24, 26, 33, 34, 35], [0, 1, 5, 6, 16, 17, 20, 31, 32, 38, 40, 45], [1, 3, 4, 5, 7, 9, 12, 23, 24, 25, 27, 34, 48], [7, 13, 16, 17, 21, 23, 25, 27, 29, 31, 32, 37, 43, 44, 53, 56, 57, 64, 72, 74, 88, 90]]","[6, 4, 5, 2, 3, 1]",[nan]
OBMA,0,"(0.125, 36)","[[2, 5], [4, 17, 31, 33, 36], [7, 18, 24, 26, 33], [0, 5, 6, 17, 32, 37], [1, 3, 4, 5, 9, 34], [16, 17, 21, 23, 25, 27, 29, 31, 43, 53, 64, 90]]","[6, 4, 5, 2, 3, 1]",[nan]
OBMA,1,"(0.5, 144)","[[1, 2, 3, 4, 5, 9, 11, 16], [2, 3, 4, 6, 8, 10, 11, 17, 18, 22, 25, 26, 27, 30, 31, 32], [1, 2, 3, 4, 5, 6, 12, 14, 16, 17, 20, 21, 23, 28, 29, 30, 31, 32], [0, 1, 2, 4, 5, 6, 7, 8, 10, 14, 16, 17, 19, 20, 21, 23, 24, 25, 36, 37, 41, 43, 44, 47], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 18, 20, 21, 22, 25, 26, 31, 32, 33, 35, 40, 43, 44, 45, 47, 53, 58], [2, 3, 4, 5, 6, 8, 9, 10, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 29, 31, 32, 33, 34, 35, 38, 40, 41, 42, 43, 46, 47, 48, 53, 55, 56, 57, 58, 63, 64, 71, 73, 79, 81, 87, 88]]","[6, 4, 5, 2, 3, 1]",[nan]
OBMA,1,"(0.25, 72)","[[2, 4, 9, 11], [2, 3, 4, 10, 17, 25, 26, 30], [1, 2, 5, 6, 17, 20, 21, 28, 29], [0, 1, 4, 5, 6, 7, 8, 16, 20, 25, 41, 43], [2, 3, 4, 5, 6, 7, 8, 10, 12, 18, 20, 22, 33, 35, 45], [3, 9, 16, 17, 22, 24, 25, 26, 27, 29, 31, 32, 34, 38, 42, 43, 47, 53, 55, 71, 79, 81, 87, 88]]","[6, 4, 5, 2, 3, 1]",[nan]
OBMA,1,"(0.125, 36)","[[4, 5], [2, 3, 25, 30], [2, 17, 20, 21, 28], [4, 5, 8, 16, 25, 41], [4, 5, 6, 7, 8, 18, 22], [9, 17, 22, 24, 27, 31, 32, 43, 53, 55, 87, 88]]","[6, 4, 5, 2, 3, 1]",[nan]
OBMA,2,"(0.5, 144)","[[3, 6, 7, 8, 10, 12, 13, 15], [0, 2, 4, 5, 8, 9, 11, 14, 15, 20, 21, 24, 26, 27, 28, 30, 31], [1, 4, 5, 7, 8, 9, 10, 14, 17, 19, 20, 22, 30, 31, 34, 35, 36, 37, 38, 39], [1, 3, 4, 5, 6, 7, 8, 9, 10, 18, 20, 22, 24, 25, 26, 32, 33, 35, 39, 40, 42, 43, 46], [0, 1, 2, 3, 5, 6, 7, 8, 11, 13, 14, 15, 21, 26, 27, 28, 29, 31, 32, 38, 40, 41, 42, 44, 48, 51, 52, 56, 57], [3, 4, 5, 7, 8, 9, 11, 12, 16, 18, 19, 21, 22, 23, 25, 26, 27, 28, 30, 31, 32, 33, 37, 38, 40, 43, 46, 48, 52, 54, 55, 56, 57, 62, 63, 65, 69, 70, 71, 77, 78, 80, 84, 86, 87]]","[6, 5, 4, 2, 3, 1]",[nan]
OBMA,2,"(0.25, 72)","[[3, 6, 13, 15], [0, 2, 5, 9, 11, 20, 21, 28, 30], [4, 5, 10, 17, 19, 20, 30, 34, 38, 39], [1, 3, 4, 5, 6, 7, 8, 9, 24, 25, 33, 42], [0, 1, 2, 3, 5, 8, 11, 13, 15, 21, 28, 41, 42, 52, 56], [4, 11, 16, 18, 19, 22, 23, 25, 26, 28, 30, 32, 37, 43, 52, 54, 55, 56, 70, 77, 86, 87]]","[6, 5, 4, 2, 3, 1]",[nan]
OBMA,2,"(0.125, 36)","[[6, 9], [0, 4, 15, 20], [4, 22, 34, 38, 39], [3, 4, 7, 9, 25, 42], [1, 2, 3, 5, 11, 15, 56], [11, 16, 18, 22, 23, 25, 26, 30, 43, 52, 54, 87]]","[6, 5, 4, 2, 3, 1]",[nan]
OBMA,3,"(0.5, 144)","[[2, 3, 4, 6, 8, 10, 11, 13], [1, 2, 4, 5, 6, 7, 14, 15, 17, 20, 22, 25, 28, 29, 30, 31, 32, 33, 37], [1, 3, 4, 5, 7, 10, 13, 17, 20, 22, 23, 24, 29, 30, 33, 35, 36, 37, 38, 39], [0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 20, 23, 24, 25, 27, 28, 34, 39, 42, 44, 45, 46, 47, 49], [1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 19, 20, 22, 25, 27, 29, 32, 33, 36, 38, 41, 43, 44, 45, 47, 56, 59, 60], [2, 3, 4, 7, 10, 11, 13, 14, 16, 17, 18, 19, 21, 22, 23, 25, 26, 27, 30, 31, 34, 37, 38, 39, 44, 45, 46, 47, 48, 49, 62, 63, 64, 65, 66, 67, 70, 72, 76, 77]]","[6, 5, 4, 2, 3, 1]",[nan]
