split seed,selection seed,p,selection,labels
0,0,"(0.5, 144)","[[1, 6, 8, 9, 13, 4, 2, 14, 10], [22, 29, 16, 15, 11, 20, 26, 10, 25, 2, 31, 33, 32, 37, 35, 30, 34, 8, 13], [30, 36, 27, 4, 10, 25, 28, 11, 37, 31, 29, 20, 39, 2, 41, 18, 15, 22, 16, 38, 8], [25, 22, 28, 4, 10, 31, 29, 11, 20, 32, 30, 38, 42, 2, 45, 18, 15, 27, 16, 41, 40, 8, 13], [28, 11, 10, 41, 2, 27, 38, 31, 22, 4, 33, 35, 26, 34, 18, 7, 14, 45, 48, 29, 15, 30, 32, 16, 42], [2, 30, 55, 16, 13, 51, 61, 45, 33, 77, 78, 7, 56, 66, 43, 59, 8, 22, 68, 92, 26, 42, 24, 6, 41, 71, 73, 60, 76, 82, 85, 3, 80, 48, 27, 18, 53, 54, 86, 62, 81, 4, 15, 17, 40, 38, 5]]","[6, 4, 5, 2, 3, 1]"
0,0,"(0.25, 72)","[[1, 6, 8, 9], [22, 29, 16, 15, 11, 20, 26, 10, 25, 2], [30, 36, 27, 4, 10, 25, 28, 11, 37, 31, 29], [25, 22, 28, 4, 10, 31, 29, 11, 20, 32, 30, 38], [28, 11, 10, 41, 2, 27, 38, 31, 22, 4, 33, 35, 26], [2, 30, 55, 16, 13, 51, 61, 45, 33, 77, 78, 7, 56, 66, 43, 59, 8, 22, 68, 92, 26, 42]]","[6, 4, 5, 2, 3, 1]"
0,0,"(0.125, 36)","[[1, 6], [22, 29, 16, 15, 11], [30, 36, 27, 4, 10], [25, 22, 28, 4, 10, 31], [28, 11, 10, 41, 2, 27], [2, 30, 55, 16, 13, 51, 61, 45, 33, 77, 78, 7]]","[6, 4, 5, 2, 3, 1]"
0,1,"(0.5, 144)","[[3, 13, 7, 2, 6, 10, 4, 1, 14], [2, 29, 3, 22, 25, 27, 21, 35, 19, 24, 30, 17, 28, 34, 31, 26, 4, 14, 10], [3, 2, 23, 39, 17, 29, 19, 35, 31, 22, 21, 33, 27, 34, 30, 32, 38, 4, 14, 10, 41], [34, 42, 2, 21, 3, 28, 23, 31, 24, 22, 35, 38, 32, 19, 33, 36, 26, 13, 45, 17, 41, 4, 27], [27, 35, 40, 38, 2, 3, 48, 29, 46, 31, 32, 39, 21, 36, 19, 42, 49, 26, 22, 13, 41, 17, 45, 24, 23], [59, 74, 44, 56, 88, 77, 62, 53, 54, 39, 40, 31, 90, 27, 38, 55, 10, 2, 92, 73, 48, 19, 87, 36, 33, 32, 46, 70, 85, 52, 35, 41, 81, 23, 34, 86, 45, 65, 15, 82, 84, 26, 91, 43, 66, 4, 49]]","[6, 4, 5, 2, 3, 1]"
0,1,"(0.25, 72)","[[3, 13, 7, 2], [2, 29, 3, 22, 25, 27, 21, 35, 19, 24], [3, 2, 23, 39, 17, 29, 19, 35, 31, 22, 21], [34, 42, 2, 21, 3, 28, 23, 31, 24, 22, 35, 38], [27, 35, 40, 38, 2, 3, 48, 29, 46, 31, 32, 39, 21], [59, 74, 44, 56, 88, 77, 62, 53, 54, 39, 40, 31, 90, 27, 38, 55, 10, 2, 92, 73, 48, 19]]","[6, 4, 5, 2, 3, 1]"
0,1,"(0.125, 36)","[[3, 13], [2, 29, 3, 22, 25], [3, 2, 23, 39, 17], [34, 42, 2, 21, 3, 28], [27, 35, 40, 38, 2, 3], [59, 74, 44, 56, 88, 77, 62, 53, 54, 39, 40, 31]]","[6, 4, 5, 2, 3, 1]"
0,2,"(0.5, 144)","[[12, 4, 5, 0, 9, 3, 1, 10, 7], [9, 0, 31, 12, 13, 30, 16, 27, 19, 36, 23, 28, 14, 1, 34, 24, 35, 29, 10], [27, 9, 14, 0, 2, 30, 13, 37, 17, 38, 39, 29, 24, 12, 16, 1, 33, 23, 25, 19, 32], [23, 12, 41, 16, 35, 42, 44, 13, 14, 0, 2, 9, 17, 30, 25, 43, 29, 27, 1, 24, 33, 38, 19], [36, 47, 28, 9, 13, 0, 44, 46, 39, 23, 24, 48, 17, 12, 27, 33, 16, 2, 25, 14, 30, 5, 32, 1, 29], [36, 28, 54, 23, 16, 77, 2, 25, 81, 13, 59, 85, 73, 14, 0, 21, 3, 27, 71, 66, 11, 78, 30, 29, 5, 70, 56, 92, 80, 1, 18, 24, 44, 35, 60, 6, 48, 84, 10, 12, 90, 65, 88, 32, 19, 62, 69]]","[6, 4, 5, 2, 3, 1]"
0,2,"(0.25, 72)","[[12, 4, 5, 0], [9, 0, 31, 12, 13, 30, 16, 27, 19, 36], [27, 9, 14, 0, 2, 30, 13, 37, 17, 38, 39], [23, 12, 41, 16, 35, 42, 44, 13, 14, 0, 2, 9], [36, 47, 28, 9, 13, 0, 44, 46, 39, 23, 24, 48, 17], [36, 28, 54, 23, 16, 77, 2, 25, 81, 13, 59, 85, 73, 14, 0, 21, 3, 27, 71, 66, 11, 78]]","[6, 4, 5, 2, 3, 1]"
0,2,"(0.125, 36)","[[12, 4], [9, 0, 31, 12, 13], [27, 9, 14, 0, 2], [23, 12, 41, 16, 35, 42], [36, 47, 28, 9, 13, 0], [36, 28, 54, 23, 16, 77, 2, 25, 81, 13, 59, 85]]","[6, 4, 5, 2, 3, 1]"
0,3,"(0.5, 144)","[[16, 6, 4, 7, 14, 1, 11, 2, 13], [4, 28, 22, 37, 32, 29, 16, 30, 13, 35, 5, 27, 36, 1, 26, 15, 18, 2, 17], [30, 40, 26, 25, 6, 9, 4, 31, 38, 16, 15, 28, 11, 18, 34, 13, 33, 27, 39, 5, 36], [43, 33, 25, 18, 9, 13, 6, 36, 34, 12, 15, 4, 27, 41, 16, 23, 11, 7, 37, 31, 35, 45, 5], [12, 39, 9, 47, 31, 28, 13, 48, 45, 6, 36, 23, 37, 18, 4, 25, 16, 15, 30, 11, 7, 40, 27, 34, 46], [91, 75, 9, 61, 54, 6, 57, 86, 46, 67, 25, 68, 53, 76, 78, 42, 31, 90, 81, 12, 8, 4, 73, 79, 17, 58, 64, 34, 5, 13, 50, 23, 11, 71, 40, 32, 45, 16, 27, 35, 36, 83, 55, 70, 89, 47, 65]]","[6, 4, 5, 2, 3, 1]"
