Method,Type,hypothesis,statistic,p-value
rdm_maha,3-0.5,Different,344.5,0.004677494248080849
rdm_maha,3-0.5,Better,930.5,0.0023387471240404246
rdm_maha,3-0.5,Worst,930.5,0.9976612528759595
rdm_maha,3-0.25,Different,360.5,0.007495135315822289
rdm_maha,3-0.25,Better,914.5,0.0037475676579111447
rdm_maha,3-0.25,Worst,914.5,0.9962524323420888
rdm_maha,3-0.125,Different,521.0,0.2607306289103539
rdm_maha,3-0.125,Better,754.0,0.13036531445517696
rdm_maha,3-0.125,Worst,754.0,0.869634685544823
rdm_maha,5-0.5,Different,181.5,1.0729676953679585e-05
rdm_maha,5-0.5,Better,1093.5,5.364838476839793e-06
rdm_maha,5-0.5,Worst,1093.5,0.9999946351615232
rdm_maha,5-0.25,Different,462.0,0.09022733345628796
rdm_maha,5-0.25,Better,813.0,0.04511366672814398
rdm_maha,5-0.25,Worst,813.0,0.954886333271856
rdm_maha,5-0.125,Different,634.0,0.9730464793478839
rdm_maha,5-0.125,Better,634.0,0.513476760326058
rdm_maha,5-0.125,Worst,634.0,0.48652323967394195
rdm_maha,10-0.5,Different,336.5,0.0036640741371164022
rdm_maha,10-0.5,Better,938.5,0.0018320370685582011
rdm_maha,10-0.5,Worst,938.5,0.9981679629314418
rdm_maha,10-0.25,Different,405.0,0.024803292050725782
rdm_maha,10-0.25,Better,870.0,0.012401646025362891
rdm_maha,10-0.25,Worst,870.0,0.9875983539746371
rdm_maha,10-0.125,Different,339.5,0.004016733519169193
rdm_maha,10-0.125,Better,935.5,0.0020083667595845963
rdm_maha,10-0.125,Worst,935.5,0.9979916332404154
random,3-0.5,Different,302.0,0.0012008632756326605
random,3-0.5,Better,973.0,0.0006004316378163303
random,3-0.5,Worst,973.0,0.9993995683621837
random,3-0.25,Different,331.5,0.0031371237381706348
random,3-0.25,Better,943.5,0.0015685618690853174
random,3-0.25,Worst,943.5,0.9984314381309147
random,3-0.125,Different,484.0,0.13837633011385084
random,3-0.125,Better,791.0,0.06918816505692542
random,3-0.125,Worst,791.0,0.9308118349430746
random,5-0.5,Different,211.0,3.8347119316009476e-05
random,5-0.5,Better,1064.0,1.9173559658004738e-05
random,5-0.5,Worst,1064.0,0.999980826440342
random,5-0.25,Different,502.0,0.1908538572403533
random,5-0.25,Better,773.0,0.09542692862017665
random,5-0.25,Worst,773.0,0.9045730713798233
random,5-0.125,Different,589.0,0.6396413025258453
random,5-0.125,Better,686.0,0.31982065126292264
random,5-0.125,Worst,686.0,0.6801793487370773
random,10-0.5,Different,301.0,0.0011603123100418302
random,10-0.5,Better,974.0,0.0005801561550209151
random,10-0.5,Worst,974.0,0.9994198438449791
random,10-0.25,Different,437.0,0.05292421964409063
random,10-0.25,Better,838.0,0.026462109822045315
random,10-0.25,Worst,838.0,0.9735378901779547
random,10-0.125,Different,306.0,0.0013733589936130188
random,10-0.125,Better,969.0,0.0006866794968065094
random,10-0.125,Worst,969.0,0.9993133205031934
mahalanobis,3-0.5,Different,596.0,0.6820055307973518
mahalanobis,3-0.5,Better,679.0,0.3410027653986759
mahalanobis,3-0.5,Worst,679.0,0.6589972346013241
mahalanobis,3-0.25,Different,615.5,0.8195051297032446
mahalanobis,3-0.25,Better,659.5,0.4097525648516223
mahalanobis,3-0.25,Worst,659.5,0.5902474351483777
mahalanobis,3-0.125,Different,637.5,1.0
mahalanobis,3-0.125,Better,637.5,0.5
mahalanobis,3-0.125,Worst,637.5,0.5
mahalanobis,5-0.5,Different,566.0,0.48008735116848855
mahalanobis,5-0.5,Better,709.0,0.24004367558424428
mahalanobis,5-0.5,Worst,709.0,0.7599563244157557
mahalanobis,5-0.25,Different,613.0,0.7970386411090857
mahalanobis,5-0.25,Better,613.0,0.6014806794454571
mahalanobis,5-0.25,Worst,613.0,0.39851932055454287
mahalanobis,5-0.125,Different,590.5,0.6144231105119108
mahalanobis,5-0.125,Better,684.5,0.3072115552559554
mahalanobis,5-0.125,Worst,684.5,0.6927884447440447
mahalanobis,10-0.5,Different,588.5,0.6247198140337094
mahalanobis,10-0.5,Better,686.5,0.3123599070168547
mahalanobis,10-0.5,Worst,686.5,0.6876400929831453
mahalanobis,10-0.25,Different,545.5,0.3371103741562499
mahalanobis,10-0.25,Better,545.5,0.831444812921875
mahalanobis,10-0.25,Worst,545.5,0.16855518707812495
mahalanobis,10-0.125,Different,612.0,0.7829563246874804
mahalanobis,10-0.125,Better,663.0,0.3914781623437402
mahalanobis,10-0.125,Worst,663.0,0.6085218376562598
