Method,Type,hypothesis,statistic,p-value
rdm_maha,3-0.5,Different,0.0,7.556929455863566e-10
rdm_maha,3-0.5,Better,1275.0,3.778464727931783e-10
rdm_maha,3-0.5,Worst,1275.0,0.9999999996221536
rdm_maha,3-0.25,Different,9.0,1.3025210640480111e-09
rdm_maha,3-0.25,Better,1266.0,6.512605320240056e-10
rdm_maha,3-0.25,Worst,1266.0,0.9999999993487395
rdm_maha,3-0.125,Different,135.0,1.2298152190805743e-06
rdm_maha,3-0.125,Better,1140.0,6.149076095402872e-07
rdm_maha,3-0.125,Worst,1140.0,0.9999993850923905
rdm_maha,5-0.5,Different,1.0,8.031090907046913e-10
rdm_maha,5-0.5,Better,1274.0,4.0155454535234565e-10
rdm_maha,5-0.5,Worst,1274.0,0.9999999995984454
rdm_maha,5-0.25,Different,11.0,1.4685612927356851e-09
rdm_maha,5-0.25,Better,1264.0,7.342806463678426e-10
rdm_maha,5-0.25,Worst,1264.0,0.9999999992657194
rdm_maha,5-0.125,Different,58.0,2.218010774931945e-08
rdm_maha,5-0.125,Better,1217.0,1.1090053874659725e-08
rdm_maha,5-0.125,Worst,1217.0,0.9999999889099461
rdm_maha,10-0.5,Different,0.0,7.556929455863566e-10
rdm_maha,10-0.5,Better,1275.0,3.778464727931783e-10
rdm_maha,10-0.5,Worst,1275.0,0.9999999996221536
rdm_maha,10-0.25,Different,0.0,7.556929455863566e-10
rdm_maha,10-0.25,Better,1275.0,3.778464727931783e-10
rdm_maha,10-0.25,Worst,1275.0,0.9999999996221536
rdm_maha,10-0.125,Different,308.0,0.0014689163506685506
rdm_maha,10-0.125,Better,967.0,0.0007344581753342753
rdm_maha,10-0.125,Worst,967.0,0.9992655418246658
random,3-0.5,Different,0.0,7.556929455863566e-10
random,3-0.5,Better,1275.0,3.778464727931783e-10
random,3-0.5,Worst,1275.0,0.9999999996221536
random,3-0.25,Different,9.0,1.3025210640480111e-09
random,3-0.25,Better,1266.0,6.512605320240056e-10
random,3-0.25,Worst,1266.0,0.9999999993487395
random,3-0.125,Different,101.0,2.2309759044101416e-07
random,3-0.125,Better,1174.0,1.1154879522050708e-07
random,3-0.125,Worst,1174.0,0.9999998884512048
random,5-0.5,Different,1.0,8.031090907046913e-10
random,5-0.5,Better,1274.0,4.0155454535234565e-10
random,5-0.5,Worst,1274.0,0.9999999995984454
random,5-0.25,Different,10.0,1.383114626082743e-09
random,5-0.25,Better,1265.0,6.915573130413715e-10
random,5-0.25,Worst,1265.0,0.9999999993084426
random,5-0.125,Different,51.0,1.4992617020836475e-08
random,5-0.125,Better,1224.0,7.496308510418238e-09
random,5-0.125,Worst,1224.0,0.9999999925036915
random,10-0.5,Different,0.0,7.556929455863566e-10
random,10-0.5,Better,1275.0,3.778464727931783e-10
random,10-0.5,Worst,1275.0,0.9999999996221536
random,10-0.25,Different,0.0,7.556929455863566e-10
random,10-0.25,Better,1275.0,3.778464727931783e-10
random,10-0.25,Worst,1275.0,0.9999999996221536
random,10-0.125,Different,248.0,0.00016994593196152202
random,10-0.125,Better,1027.0,8.497296598076101e-05
random,10-0.125,Worst,1027.0,0.9999150270340192
mahalanobis,3-0.5,Different,472.5,0.09347746430892698
mahalanobis,3-0.5,Better,472.5,0.9532612678455366
mahalanobis,3-0.5,Worst,472.5,0.04673873215446349
mahalanobis,3-0.25,Different,614.0,0.7996027335318013
mahalanobis,3-0.25,Better,614.0,0.6001986332340993
mahalanobis,3-0.25,Worst,614.0,0.39980136676590067
mahalanobis,3-0.125,Different,498.5,0.14703847046498353
mahalanobis,3-0.125,Better,776.5,0.07351923523249176
mahalanobis,3-0.125,Worst,776.5,0.9264807647675082
mahalanobis,5-0.5,Different,517.0,0.2059180452705046
mahalanobis,5-0.5,Better,517.0,0.8970409773647476
mahalanobis,5-0.5,Worst,517.0,0.1029590226352523
mahalanobis,5-0.25,Different,636.5,0.9914480933924761
mahalanobis,5-0.25,Better,638.5,0.49572404669623804
mahalanobis,5-0.25,Worst,638.5,0.504275953303762
mahalanobis,5-0.125,Different,544.0,0.32319581290434496
mahalanobis,5-0.125,Better,731.0,0.16159790645217248
mahalanobis,5-0.125,Worst,731.0,0.8384020935478276
mahalanobis,10-0.5,Different,597.5,0.6764685857952575
mahalanobis,10-0.5,Better,677.5,0.33823429289762874
mahalanobis,10-0.5,Worst,677.5,0.6617657071023713
mahalanobis,10-0.25,Different,637.0,0.9956545054038674
mahalanobis,10-0.25,Better,638.0,0.4978272527019337
mahalanobis,10-0.25,Worst,638.0,0.5021727472980664
mahalanobis,10-0.125,Different,564.0,0.4272002952725773
mahalanobis,10-0.125,Better,711.0,0.21360014763628865
mahalanobis,10-0.125,Worst,711.0,0.7863998523637113
