method,split seed,p,selection,labels,improvement
OBMA,0,"(0.5, 60)","[[0, 1, 4, 5, 6, 10, 11, 14, 18, 21, 22, 23, 24, 26, 28, 30, 32, 35], [2, 6, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 25, 26, 27, 28, 33, 36, 37, 38], [0, 3, 4, 5, 6, 7, 8, 11, 13, 14, 16, 17, 18, 19, 20, 21, 25, 28, 29, 32, 34]]","[1, 0, 2]",[nan]
OBMA,0,"(0.25, 30)","[[1, 5, 6, 10, 11, 18, 23, 26, 35], [6, 10, 11, 12, 14, 17, 18, 19, 28, 36], [3, 4, 8, 13, 14, 16, 17, 21, 25, 28, 32]]","[1, 0, 2]",[nan]
OBMA,0,"(0.125, 15)","[[6, 11, 26, 35], [10, 12, 14, 17, 36], [4, 13, 14, 17, 25, 32]]","[1, 0, 2]",[nan]
OBMA,1,"(0.5, 60)","[[4, 5, 6, 7, 8, 11, 15, 16, 17, 18, 21, 24, 25, 26, 27, 28, 31, 32, 33], [2, 4, 7, 9, 12, 13, 14, 16, 18, 20, 21, 22, 27, 29, 30, 31, 32, 33, 34, 35], [0, 1, 2, 4, 6, 7, 9, 10, 13, 14, 15, 18, 19, 20, 22, 24, 26, 29, 32, 35]]","[2, 0, 1]",[nan]
OBMA,1,"(0.25, 30)","[[4, 5, 6, 7, 8, 11, 15, 25, 31], [7, 12, 13, 16, 20, 21, 22, 27, 32, 35], [0, 1, 4, 7, 9, 10, 15, 20, 22, 26, 35]]","[2, 0, 1]",[nan]
OBMA,1,"(0.125, 15)","[[4, 5, 25, 31], [12, 13, 20, 32, 35], [0, 4, 7, 9, 15, 26]]","[2, 0, 1]",[nan]
OBMA,2,"(0.5, 60)","[[1, 4, 7, 10, 11, 13, 15, 16, 20, 21, 22, 23, 26, 27, 28, 29, 32], [0, 1, 2, 3, 7, 9, 13, 14, 16, 18, 20, 21, 22, 24, 25, 26, 27, 30, 31, 34, 41], [0, 1, 4, 5, 6, 7, 10, 14, 15, 16, 18, 19, 22, 23, 25, 26, 29, 31, 32, 34, 35]]","[0, 1, 2]",[nan]
OBMA,2,"(0.25, 30)","[[7, 10, 11, 13, 23, 27, 28, 29], [0, 2, 3, 7, 14, 16, 18, 24, 27, 41], [5, 6, 7, 10, 14, 15, 16, 18, 19, 23, 26, 31]]","[0, 1, 2]",[nan]
OBMA,2,"(0.125, 15)","[[10, 27, 28, 29], [0, 7, 18, 27, 41], [10, 14, 15, 16, 26, 31]]","[0, 1, 2]",[nan]
OBMA,3,"(0.5, 60)","[[0, 1, 2, 5, 8, 12, 13, 16, 18, 19, 21, 23, 24, 25, 27, 28, 30, 32, 37], [1, 5, 6, 7, 8, 10, 11, 14, 15, 16, 18, 19, 21, 22, 26, 27, 30, 32, 33], [2, 4, 7, 11, 12, 13, 14, 16, 19, 20, 21, 22, 26, 27, 29, 30, 31, 32, 35, 36, 39]]","[1, 2, 0]",[nan]
