split seed,p,selection,labels
0,"(0.5, 60)","[[35, 32, 30, 27, 26, 24, 23, 22, 21, 20, 18, 14, 11, 10, 6, 5, 4, 1, 0], [38, 37, 36, 33, 28, 27, 26, 25, 21, 20, 19, 18, 17, 16, 14, 13, 12, 11, 10, 6, 2], [34, 32, 29, 28, 25, 21, 20, 18, 17, 16, 14, 13, 11, 8, 7, 6, 5, 4, 3, 0]]","[1, 0, 2]"
0,"(0.25, 30)","[[35, 32, 26, 18, 14, 11, 6, 5, 1], [36, 28, 19, 18, 17, 16, 14, 12, 11, 10], [32, 28, 25, 21, 17, 14, 13, 8, 6, 4, 3]]","[1, 0, 2]"
0,"(0.125, 15)","[[35, 26, 18, 6, 5], [36, 17, 12, 11, 10], [25, 17, 14, 13, 4]]","[1, 0, 2]"
1,"(0.5, 60)","[[33, 31, 28, 27, 26, 25, 24, 21, 18, 17, 16, 15, 12, 11, 8, 7, 6, 5, 4, 0], [35, 34, 33, 32, 31, 27, 23, 22, 21, 20, 18, 16, 14, 13, 12, 9, 7, 4, 2, 1], [35, 32, 29, 28, 26, 24, 22, 20, 19, 18, 17, 15, 13, 10, 9, 7, 4, 2, 1, 0]]","[2, 0, 1]"
1,"(0.25, 30)","[[33, 31, 25, 15, 11, 8, 7, 6, 5, 4], [35, 32, 27, 22, 21, 20, 16, 14, 13, 12], [35, 26, 22, 20, 15, 10, 9, 7, 4, 0]]","[2, 0, 1]"
1,"(0.125, 15)","[[31, 25, 15, 5, 4], [32, 22, 20, 13, 12], [26, 15, 7, 4, 0]]","[2, 0, 1]"
2,"(0.5, 60)","[[32, 29, 28, 27, 26, 23, 22, 21, 20, 16, 15, 13, 11, 10, 7, 5, 4, 1], [41, 34, 33, 30, 27, 26, 25, 24, 22, 21, 20, 18, 16, 14, 13, 9, 7, 3, 2, 1, 0], [34, 31, 29, 26, 23, 22, 20, 19, 18, 16, 15, 14, 11, 10, 7, 6, 5, 4, 1, 1, 0]]","[0, 1, 2]"
2,"(0.25, 30)","[[29, 28, 27, 23, 13, 11, 10, 7, 4], [41, 27, 24, 22, 18, 16, 14, 13, 7, 2, 0], [34, 31, 26, 19, 16, 15, 14, 10, 7, 6]]","[0, 1, 2]"
2,"(0.125, 15)","[[29, 27, 11, 10], [41, 27, 18, 7, 0], [26, 19, 16, 15, 14, 10]]","[0, 1, 2]"
3,"(0.5, 60)","[[37, 32, 30, 28, 27, 24, 23, 21, 19, 18, 16, 13, 12, 8, 6, 5, 3, 2, 1, 0], [32, 30, 27, 26, 22, 21, 19, 18, 16, 15, 14, 11, 10, 8, 7, 6, 5, 1, 1, 0], [39, 36, 35, 32, 29, 27, 26, 25, 22, 21, 20, 19, 16, 14, 13, 12, 11, 7, 4, 2]]","[1, 2, 0]"
3,"(0.25, 30)","[[37, 32, 27, 19, 16, 13, 12, 8, 1, 0], [32, 22, 18, 16, 15, 14, 10, 8, 6, 5], [36, 32, 27, 21, 20, 19, 16, 13, 12, 11]]","[1, 2, 0]"
3,"(0.125, 15)","[[37, 32, 19, 8, 0], [18, 15, 14, 10, 6], [27, 19, 13, 12, 11]]","[1, 2, 0]"
4,"(0.5, 60)","[[31, 28, 26, 25, 23, 20, 19, 16, 15, 13, 12, 10, 8, 7, 6, 5, 4, 1, 1], [39, 36, 33, 31, 30, 29, 27, 25, 23, 21, 20, 19, 16, 14, 9, 6, 5, 3, 2, 1, 0], [37, 36, 35, 34, 31, 26, 25, 23, 22, 20, 19, 18, 17, 15, 13, 11, 10, 9, 3, 2]]","[2, 1, 0]"
4,"(0.25, 30)","[[28, 23, 16, 13, 12, 10, 8, 5, 4], [39, 36, 27, 23, 21, 14, 9, 6, 2, 0], [37, 34, 31, 26, 19, 18, 17, 13, 10, 9, 3]]","[2, 1, 0]"
4,"(0.125, 15)","[[23, 16, 12, 5, 4], [39, 27, 14, 9, 0], [34, 26, 17, 10, 9]]","[2, 1, 0]"
5,"(0.5, 60)","[[37, 31, 30, 27, 25, 24, 23, 22, 19, 18, 15, 14, 12, 9, 6, 5, 4, 3, 2], [37, 34, 33, 32, 30, 26, 25, 24, 23, 20, 19, 18, 17, 15, 12, 11, 10, 9, 5, 2], [40, 38, 36, 32, 31, 29, 27, 25, 24, 23, 22, 20, 16, 13, 10, 7, 6, 3, 2, 1, 0]]","[2, 0, 1]"
5,"(0.25, 30)","[[27, 24, 22, 19, 15, 12, 9, 6, 4, 2], [34, 30, 26, 19, 18, 17, 11, 10, 9, 5], [40, 38, 29, 25, 20, 16, 13, 10, 7, 0]]","[2, 0, 1]"
5,"(0.125, 15)","[[22, 15, 12, 9, 2], [26, 17, 11, 10, 9], [40, 29, 20, 10, 0]]","[2, 0, 1]"
