split seed,selection seed,p,selection,labels
0,0,"(0.5, 60)","[[22, 20, 16, 10, 31, 28, 15, 11, 2, 25, 30, 32, 36, 34, 29, 33, 8, 13, 5], [25, 35, 29, 4, 10, 31, 27, 11, 36, 30, 28, 20, 38, 2, 40, 18, 15, 22, 16, 37, 8], [30, 36, 27, 4, 10, 25, 28, 11, 37, 31, 29, 20, 39, 2, 41, 18, 15, 22, 16, 38]]","[1, 0, 2]"
0,0,"(0.25, 30)","[[22, 20, 16, 10, 31, 28, 15, 11, 2], [25, 35, 29, 4, 10, 31, 27, 11, 36, 30], [30, 36, 27, 4, 10, 25, 28, 11, 37, 31, 29]]","[1, 0, 2]"
0,0,"(0.125, 15)","[[22, 20, 16, 10, 31], [25, 35, 29, 4, 10], [30, 36, 27, 4, 10]]","[1, 0, 2]"
0,1,"(0.5, 60)","[[2, 29, 3, 22, 25, 27, 21, 35, 19, 24, 30, 17, 28, 34, 31, 26, 4, 14, 10], [3, 2, 23, 38, 17, 28, 19, 34, 30, 22, 21, 32, 27, 33, 29, 31, 40, 4, 14, 10, 36], [3, 2, 23, 39, 17, 29, 19, 35, 31, 22, 21, 33, 27, 34, 30, 32, 38, 4, 14, 10]]","[1, 0, 2]"
0,1,"(0.25, 30)","[[2, 29, 3, 22, 25, 27, 21, 35, 19], [3, 2, 23, 38, 17, 28, 19, 34, 30, 22], [3, 2, 23, 39, 17, 29, 19, 35, 31, 22, 21]]","[1, 0, 2]"
0,1,"(0.125, 15)","[[2, 29, 3, 22, 25], [3, 2, 23, 38, 17], [3, 2, 23, 39, 17]]","[1, 0, 2]"
0,2,"(0.5, 60)","[[13, 14, 29, 31, 16, 9, 33, 0, 34, 25, 12, 1, 28, 19, 26, 23, 27, 10, 4], [27, 9, 14, 0, 2, 30, 13, 36, 17, 37, 38, 29, 24, 12, 16, 1, 33, 23, 25, 19, 32], [27, 9, 14, 0, 2, 30, 13, 37, 17, 38, 39, 29, 24, 12, 16, 1, 33, 23, 25, 19]]","[1, 0, 2]"
0,2,"(0.25, 30)","[[13, 14, 29, 31, 16, 9, 33, 0, 34], [27, 9, 14, 0, 2, 30, 13, 36, 17, 37], [27, 9, 14, 0, 2, 30, 13, 37, 17, 38, 39]]","[1, 0, 2]"
0,2,"(0.125, 15)","[[13, 14, 29, 31, 16], [27, 9, 14, 0, 2], [27, 9, 14, 0, 2]]","[1, 0, 2]"
0,3,"(0.5, 60)","[[4, 26, 18, 22, 17, 36, 15, 28, 13, 34, 5, 27, 35, 1, 30, 16, 2, 14, 7], [30, 16, 9, 28, 4, 18, 29, 39, 15, 27, 26, 11, 31, 33, 13, 35, 25, 38, 5, 1, 32], [30, 40, 26, 25, 6, 9, 4, 31, 38, 16, 15, 28, 11, 18, 34, 13, 33, 27, 39, 5]]","[1, 0, 2]"
0,3,"(0.25, 30)","[[4, 26, 18, 22, 17, 36, 15, 28, 13], [30, 16, 9, 28, 4, 18, 29, 39, 15, 27], [30, 40, 26, 25, 6, 9, 4, 31, 38, 16, 15]]","[1, 0, 2]"
0,3,"(0.125, 15)","[[4, 26, 18, 22, 17], [30, 16, 9, 28, 4], [30, 40, 26, 25, 6]]","[1, 0, 2]"
0,4,"(0.5, 60)","[[31, 16, 14, 22, 19, 17, 29, 11, 35, 21, 36, 2, 24, 15, 30, 20, 32, 0, 3], [35, 40, 4, 15, 28, 19, 16, 7, 18, 11, 27, 34, 12, 22, 25, 20, 39, 13, 10, 38, 33], [31, 41, 4, 15, 28, 19, 16, 7, 18, 11, 27, 35, 12, 22, 25, 20, 40, 13, 10, 39]]","[1, 0, 2]"
0,4,"(0.25, 30)","[[31, 16, 14, 22, 19, 17, 29, 11, 35], [35, 40, 4, 15, 28, 19, 16, 7, 18, 11], [31, 41, 4, 15, 28, 19, 16, 7, 18, 11, 27]]","[1, 0, 2]"
0,4,"(0.125, 15)","[[31, 16, 14, 22, 19], [35, 40, 4, 15, 28], [31, 41, 4, 15, 28]]","[1, 0, 2]"
0,5,"(0.5, 60)","[[32, 18, 3, 19, 22, 5, 0, 23, 20, 10, 33, 2, 6, 31, 36, 24, 1, 11, 13], [20, 22, 24, 3, 23, 6, 4, 40, 28, 5, 0, 26, 2, 34, 39, 25, 19, 10, 36, 18, 29], [28, 23, 25, 3, 24, 6, 4, 36, 29, 5, 0, 41, 2, 22, 40, 26, 19, 10, 37, 18]]","[1, 0, 2]"
0,5,"(0.25, 30)","[[32, 18, 3, 19, 22, 5, 0, 23, 20], [20, 22, 24, 3, 23, 6, 4, 40, 28, 5], [28, 23, 25, 3, 24, 6, 4, 36, 29, 5, 0]]","[1, 0, 2]"
0,5,"(0.125, 15)","[[32, 18, 3, 19, 22], [20, 22, 24, 3, 23], [28, 23, 25, 3, 24]]","[1, 0, 2]"
0,6,"(0.5, 60)","[[28, 7, 3, 22, 0, 19, 21, 34, 17, 26, 32, 6, 35, 36, 27, 5, 18, 23, 2], [6, 22, 31, 40, 37, 38, 3, 7, 39, 19, 0, 30, 24, 23, 17, 18, 32, 28, 5, 21, 29], [6, 23, 32, 41, 21, 36, 3, 7, 40, 19, 0, 30, 31, 24, 17, 18, 33, 29, 5, 22]]","[1, 0, 2]"
0,6,"(0.25, 30)","[[28, 7, 3, 22, 0, 19, 21, 34, 17], [6, 22, 31, 40, 37, 38, 3, 7, 39, 19], [6, 23, 32, 41, 21, 36, 3, 7, 40, 19, 0]]","[1, 0, 2]"
0,6,"(0.125, 15)","[[28, 7, 3, 22, 0], [6, 22, 31, 40, 37], [6, 23, 32, 41, 21]]","[1, 0, 2]"
0,7,"(0.5, 60)","[[33, 2, 24, 1, 18, 13, 9, 15, 22, 5, 34, 20, 27, 17, 11, 0, 12, 21, 16], [9, 17, 29, 38, 13, 24, 18, 1, 30, 2, 37, 20, 33, 22, 15, 27, 5, 21, 31, 11, 0], [18, 34, 15, 31, 17, 39, 1, 30, 32, 38, 9, 36, 2, 21, 13, 20, 24, 5, 22, 29]]","[1, 0, 2]"
0,7,"(0.25, 30)","[[33, 2, 24, 1, 18, 13, 9, 15, 22], [9, 17, 29, 38, 13, 24, 18, 1, 30, 2], [18, 34, 15, 31, 17, 39, 1, 30, 32, 38, 9]]","[1, 0, 2]"
0,7,"(0.125, 15)","[[33, 2, 24, 1, 18], [9, 17, 29, 38, 13], [18, 34, 15, 31, 17]]","[1, 0, 2]"
0,8,"(0.5, 60)","[[0, 35, 33, 11, 29, 1, 25, 23, 7, 24, 34, 4, 36, 27, 30, 22, 6, 14, 18], [36, 40, 31, 39, 17, 22, 28, 0, 25, 34, 16, 11, 1, 30, 38, 37, 24, 32, 23, 33, 7], [37, 41, 12, 40, 17, 22, 30, 0, 25, 35, 16, 11, 1, 32, 39, 38, 24, 28, 23, 34]]","[1, 0, 2]"
0,8,"(0.25, 30)","[[0, 35, 33, 11, 29, 1, 25, 23, 7], [36, 40, 31, 39, 17, 22, 28, 0, 25, 34], [37, 41, 12, 40, 17, 22, 30, 0, 25, 35, 16]]","[1, 0, 2]"
0,8,"(0.125, 15)","[[0, 35, 33, 11, 29], [36, 40, 31, 39, 17], [37, 41, 12, 40, 17]]","[1, 0, 2]"
0,9,"(0.5, 60)","[[19, 17, 32, 4, 13, 2, 23, 15, 16, 21, 33, 20, 8, 30, 9, 7, 6, 5, 11], [20, 37, 16, 4, 15, 2, 23, 7, 17, 13, 25, 19, 30, 21, 8, 32, 9, 6, 5, 11, 3], [26, 20, 7, 13, 37, 4, 36, 2, 17, 25, 14, 34, 21, 15, 23, 8, 16, 9, 6, 19]]","[1, 0, 2]"
0,9,"(0.25, 30)","[[19, 17, 32, 4, 13, 2, 23, 15, 16], [20, 37, 16, 4, 15, 2, 23, 7, 17, 13], [26, 20, 7, 13, 37, 4, 36, 2, 17, 25, 14]]","[1, 0, 2]"
0,9,"(0.125, 15)","[[19, 17, 32, 4, 13], [20, 37, 16, 4, 15], [26, 20, 7, 13, 37]]","[1, 0, 2]"
0,10,"(0.5, 60)","[[24, 32, 2, 12, 7, 5, 33, 3, 13, 18, 14, 1, 23, 20, 22, 6, 11, 35, 21], [30, 12, 33, 2, 20, 17, 18, 7, 27, 13, 31, 24, 5, 6, 3, 35, 14, 23, 39, 1, 21], [30, 21, 26, 7, 31, 23, 2, 17, 18, 20, 12, 6, 32, 3, 40, 5, 13, 14, 24, 34]]","[1, 0, 2]"
0,10,"(0.25, 30)","[[24, 32, 2, 12, 7, 5, 33, 3, 13], [30, 12, 33, 2, 20, 17, 18, 7, 27, 13], [30, 21, 26, 7, 31, 23, 2, 17, 18, 20, 12]]","[1, 0, 2]"
0,10,"(0.125, 15)","[[24, 32, 2, 12, 7], [30, 12, 33, 2, 20], [30, 21, 26, 7, 31]]","[1, 0, 2]"
0,11,"(0.5, 60)","[[15, 9, 34, 23, 20, 14, 6, 3, 19, 33, 8, 11, 28, 21, 29, 36, 5, 10, 30], [19, 31, 20, 8, 9, 22, 29, 21, 15, 32, 14, 38, 26, 23, 11, 6, 3, 37, 34, 5, 10], [20, 41, 21, 8, 9, 23, 29, 22, 15, 19, 14, 30, 39, 32, 11, 6, 3, 35, 38, 34]]","[1, 0, 2]"
0,11,"(0.25, 30)","[[15, 9, 34, 23, 20, 14, 6, 3, 19], [19, 31, 20, 8, 9, 22, 29, 21, 15, 32], [20, 41, 21, 8, 9, 23, 29, 22, 15, 19, 14]]","[1, 0, 2]"
