Method,Type,hypothesis,statistic,p-value
rdm_maha,3-0.5,Different,540.0,0.3465854462157667
rdm_maha,3-0.5,Better,540.0,0.8267072768921166
rdm_maha,3-0.5,Worst,540.0,0.17329272310788335
rdm_maha,3-0.25,Different,363.5,0.008155005314246684
rdm_maha,3-0.25,Better,911.5,0.004077502657123342
rdm_maha,3-0.25,Worst,911.5,0.9959224973428766
rdm_maha,3-0.125,Different,201.0,2.4331333549229802e-05
rdm_maha,3-0.125,Better,1074.0,1.2165666774614901e-05
rdm_maha,3-0.125,Worst,1074.0,0.9999878343332254
rdm_maha,5-0.5,Different,425.5,0.04069714309279438
rdm_maha,5-0.5,Better,425.5,0.9796514284536028
rdm_maha,5-0.5,Worst,425.5,0.02034857154639719
rdm_maha,5-0.25,Different,344.5,0.004669073010910864
rdm_maha,5-0.25,Better,930.5,0.002334536505455432
rdm_maha,5-0.25,Worst,930.5,0.9976654634945445
rdm_maha,5-0.125,Different,332.5,0.0031783324910329303
rdm_maha,5-0.125,Better,942.5,0.0015891662455164652
rdm_maha,5-0.125,Worst,942.5,0.9984108337544836
rdm_maha,10-0.5,Different,74.5,5.4839718306957e-08
rdm_maha,10-0.5,Better,74.5,0.9999999725801408
rdm_maha,10-0.5,Worst,74.5,2.74198591534785e-08
rdm_maha,10-0.25,Different,566.5,0.49278733278915476
rdm_maha,10-0.25,Better,708.5,0.24639366639457738
rdm_maha,10-0.25,Worst,708.5,0.7536063336054226
rdm_maha,10-0.125,Different,316.0,0.0018452808903610266
rdm_maha,10-0.125,Better,959.0,0.0009226404451805133
rdm_maha,10-0.125,Worst,959.0,0.9990773595548195
random,3-0.5,Different,628.0,0.9269285422992193
random,3-0.5,Better,628.0,0.5365357288503904
random,3-0.5,Worst,628.0,0.46346427114960964
random,3-0.25,Different,393.5,0.01847545837864587
random,3-0.25,Better,881.5,0.009237729189322934
random,3-0.25,Worst,881.5,0.990762270810677
random,3-0.125,Different,243.0,0.00013630524997355296
random,3-0.125,Better,1032.0,6.815262498677648e-05
random,3-0.125,Worst,1032.0,0.9999318473750132
random,5-0.5,Different,458.0,0.08312335330277099
random,5-0.5,Better,458.0,0.9584383233486145
random,5-0.5,Worst,458.0,0.04156167665138549
random,5-0.25,Different,322.5,0.0023542312922621832
random,5-0.25,Better,952.5,0.0011771156461310916
random,5-0.25,Worst,952.5,0.9988228843538689
random,5-0.125,Different,340.5,0.0040717364199005035
random,5-0.125,Better,934.5,0.0020358682099502518
random,5-0.125,Worst,934.5,0.9979641317900497
random,10-0.5,Different,117.5,5.171154940867421e-07
random,10-0.5,Better,117.5,0.999999741442253
random,10-0.5,Worst,117.5,2.5855774704337104e-07
random,10-0.25,Different,625.5,0.9077129577853574
random,10-0.25,Better,625.5,0.5461435211073213
random,10-0.25,Worst,625.5,0.4538564788926787
random,10-0.125,Different,494.0,0.16453703873465797
random,10-0.125,Better,781.0,0.08226851936732898
random,10-0.125,Worst,781.0,0.9177314806326711
mahalanobis,3-0.5,Different,501.5,0.1558068769487094
mahalanobis,3-0.5,Better,773.5,0.0779034384743547
mahalanobis,3-0.5,Worst,773.5,0.9220965615256453
mahalanobis,3-0.25,Different,613.5,0.7984235903013867
mahalanobis,3-0.25,Better,613.5,0.6007882048493067
mahalanobis,3-0.25,Worst,613.5,0.3992117951506933
mahalanobis,3-0.125,Different,612.5,0.7835304977741095
mahalanobis,3-0.125,Better,612.5,0.6082347511129452
mahalanobis,3-0.125,Worst,612.5,0.3917652488870548
mahalanobis,5-0.5,Different,635.5,0.9833475265888142
mahalanobis,5-0.5,Better,639.5,0.4916737632944071
mahalanobis,5-0.5,Worst,639.5,0.508326236705593
mahalanobis,5-0.25,Different,613.0,0.7912624548111306
mahalanobis,5-0.25,Better,662.0,0.3956312274055653
mahalanobis,5-0.25,Worst,662.0,0.6043687725944347
mahalanobis,5-0.125,Different,637.5,1.0
mahalanobis,5-0.125,Better,637.5,0.5
mahalanobis,5-0.125,Worst,637.5,0.5
mahalanobis,10-0.5,Different,430.0,0.03845000518399961
mahalanobis,10-0.5,Better,845.0,0.019225002591999805
mahalanobis,10-0.5,Worst,845.0,0.9807749974080002
mahalanobis,10-0.25,Different,589.0,0.6031463667114811
mahalanobis,10-0.25,Better,589.0,0.6984268166442594
mahalanobis,10-0.25,Worst,589.0,0.30157318335574057
mahalanobis,10-0.125,Different,542.0,0.3128861533332573
mahalanobis,10-0.125,Better,542.0,0.8435569233333713
mahalanobis,10-0.125,Worst,542.0,0.15644307666662866
