Method,Type,hypothesis,statistic,p-value
rdm_maha,3-0.5,Different,69.0,4.067656952108499e-08
rdm_maha,3-0.5,Better,1206.0,2.0338284760542493e-08
rdm_maha,3-0.5,Worst,1206.0,0.9999999796617153
rdm_maha,3-0.25,Different,333.0,0.0032882358544318886
rdm_maha,3-0.25,Better,942.0,0.0016441179272159443
rdm_maha,3-0.25,Worst,942.0,0.998355882072784
rdm_maha,3-0.125,Different,465.0,0.09587474145721818
rdm_maha,3-0.125,Better,465.0,0.952062629271391
rdm_maha,3-0.125,Worst,465.0,0.04793737072860909
rdm_maha,5-0.5,Different,246.0,0.00015729600133906394
rdm_maha,5-0.5,Better,1029.0,7.864800066953197e-05
rdm_maha,5-0.5,Worst,1029.0,0.9999213519993305
rdm_maha,5-0.25,Different,464.0,0.09396487281109463
rdm_maha,5-0.25,Better,464.0,0.9530175635944527
rdm_maha,5-0.25,Worst,464.0,0.04698243640554731
rdm_maha,5-0.125,Different,308.0,0.0014689163506685506
rdm_maha,5-0.125,Better,308.0,0.9992655418246658
rdm_maha,5-0.125,Worst,308.0,0.0007344581753342753
rdm_maha,10-0.5,Different,51.0,1.4992617020836475e-08
rdm_maha,10-0.5,Better,1224.0,7.496308510418238e-09
rdm_maha,10-0.5,Worst,1224.0,0.9999999925036915
rdm_maha,10-0.25,Different,443.0,0.06044101211218558
rdm_maha,10-0.25,Better,443.0,0.9697794939439072
rdm_maha,10-0.25,Worst,443.0,0.03022050605609279
rdm_maha,10-0.125,Different,21.0,2.6610826344429773e-09
rdm_maha,10-0.125,Better,21.0,0.9999999986694587
rdm_maha,10-0.125,Worst,21.0,1.3305413172214887e-09
random,3-0.5,Different,150.0,2.526575207856571e-06
random,3-0.5,Better,1125.0,1.2632876039282855e-06
random,3-0.5,Worst,1125.0,0.999998736712396
random,3-0.25,Different,427.0,0.04215212113735125
random,3-0.25,Better,427.0,0.9789239394313244
random,3-0.25,Worst,427.0,0.021076060568675625
random,3-0.125,Different,383.0,0.014019653747981576
random,3-0.125,Better,892.0,0.007009826873990788
random,3-0.125,Worst,892.0,0.9929901731260092
random,5-0.5,Different,110.0,3.541108275851046e-07
random,5-0.5,Better,1165.0,1.770554137925523e-07
random,5-0.5,Worst,1165.0,0.9999998229445862
random,5-0.25,Different,228.0,7.717175285145015e-05
random,5-0.25,Better,228.0,0.9999614141235743
random,5-0.25,Worst,228.0,3.8585876425725075e-05
random,5-0.125,Different,602.0,0.73183063851359
random,5-0.125,Better,673.0,0.365915319256795
random,5-0.125,Worst,673.0,0.634084680743205
random,10-0.5,Different,108.0,3.19761362271102e-07
random,10-0.5,Better,1167.0,1.59880681135551e-07
random,10-0.5,Worst,1167.0,0.9999998401193189
random,10-0.25,Different,74.0,5.339357587716575e-08
random,10-0.25,Better,74.0,0.9999999733032121
random,10-0.25,Worst,74.0,2.6696787938582875e-08
random,10-0.125,Different,123.0,6.813275396349823e-07
random,10-0.125,Better,123.0,0.9999996593362301
random,10-0.125,Worst,123.0,3.4066376981749113e-07
mahalanobis,3-0.5,Different,340.5,0.004143300334936637
mahalanobis,3-0.5,Better,340.5,0.9979283498325316
mahalanobis,3-0.5,Worst,340.5,0.0020716501674683187
mahalanobis,3-0.25,Different,152.5,2.8427331497303793e-06
mahalanobis,3-0.25,Better,152.5,0.9999985786334251
mahalanobis,3-0.25,Worst,152.5,1.4213665748651897e-06
mahalanobis,3-0.125,Different,292.5,0.0008672113893951698
mahalanobis,3-0.125,Better,982.5,0.0004336056946975849
mahalanobis,3-0.125,Worst,982.5,0.9995663943053024
mahalanobis,5-0.5,Different,451.5,0.07257250745307096
mahalanobis,5-0.5,Better,823.5,0.03628625372653548
mahalanobis,5-0.5,Worst,823.5,0.9637137462734645
mahalanobis,5-0.25,Different,242.5,0.0001372527273018119
mahalanobis,5-0.25,Better,242.5,0.9999313736363491
mahalanobis,5-0.25,Worst,242.5,6.862636365090595e-05
mahalanobis,5-0.125,Different,243.5,0.00014228197985364168
mahalanobis,5-0.125,Better,1031.5,7.114098992682084e-05
mahalanobis,5-0.125,Worst,1031.5,0.9999288590100732
mahalanobis,10-0.5,Different,630.5,0.9461255883660366
mahalanobis,10-0.5,Better,644.5,0.4730627941830183
mahalanobis,10-0.5,Worst,644.5,0.5269372058169817
mahalanobis,10-0.25,Different,154.0,3.050941426780099e-06
mahalanobis,10-0.25,Better,154.0,0.9999984745292866
mahalanobis,10-0.25,Worst,154.0,1.5254707133900496e-06
mahalanobis,10-0.125,Different,283.0,0.0006212414028350482
mahalanobis,10-0.125,Better,992.0,0.0003106207014175241
mahalanobis,10-0.125,Worst,992.0,0.9996893792985825
