method,split seed,p,selection,labels,improvement
OBMA,0,"(0.5, 84)","[[1, 4, 5, 8, 11, 12, 13, 14, 16, 17, 20, 27, 30, 31, 32, 33, 34, 38, 40, 42, 45, 47, 48, 49, 50, 52, 53], [1, 2, 4, 5, 7, 8, 13, 14, 16, 17, 18, 19, 20, 21, 24, 25, 27, 29, 32, 36, 39, 40, 41, 44, 46, 48, 50, 53], [1, 2, 6, 7, 8, 10, 13, 14, 15, 16, 19, 20, 21, 25, 26, 30, 31, 32, 40, 41, 42, 44, 45, 47, 48, 49, 55, 56]]","[2, 3, 1]",[nan]
OBMA,0,"(0.25, 42)","[[12, 13, 14, 17, 20, 32, 33, 40, 42, 45, 47, 48, 53], [2, 7, 8, 13, 20, 25, 27, 29, 39, 44, 46, 48, 50, 53], [2, 6, 8, 14, 15, 20, 21, 25, 26, 30, 32, 40, 44, 47, 48]]","[2, 3, 1]",[nan]
OBMA,0,"(0.125, 21)","[[12, 13, 17, 20, 42, 53], [7, 13, 25, 29, 44, 48, 50], [2, 8, 14, 21, 25, 30, 44, 48]]","[2, 3, 1]",[nan]
OBMA,1,"(0.5, 84)","[[1, 4, 7, 9, 15, 16, 18, 19, 22, 23, 25, 26, 27, 29, 31, 32, 33, 38, 39, 40, 41, 42, 44, 46, 48, 51], [1, 3, 7, 8, 9, 11, 12, 14, 17, 18, 19, 24, 26, 29, 30, 32, 34, 36, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49], [1, 3, 5, 6, 7, 10, 11, 12, 14, 15, 19, 20, 23, 24, 32, 33, 34, 35, 39, 41, 43, 45, 48, 50, 53, 54, 56, 57, 58]]","[3, 1, 2]",[nan]
OBMA,1,"(0.25, 42)","[[7, 15, 16, 18, 19, 29, 32, 33, 41, 44, 46, 48, 51], [3, 7, 9, 12, 14, 17, 18, 24, 30, 32, 36, 46, 47, 48], [3, 5, 14, 15, 19, 20, 23, 41, 43, 45, 48, 50, 53, 56, 57]]","[3, 1, 2]",[nan]
OBMA,1,"(0.125, 21)","[[7, 15, 19, 44, 46, 51], [3, 9, 12, 18, 30, 46, 48], [3, 14, 20, 23, 41, 45, 53, 57]]","[3, 1, 2]",[nan]
OBMA,2,"(0.5, 84)","[[1, 6, 7, 9, 10, 11, 12, 14, 18, 19, 20, 21, 27, 28, 31, 32, 34, 35, 36, 37, 43, 45, 47, 48, 49, 53, 54], [3, 6, 7, 9, 13, 14, 15, 16, 20, 22, 29, 32, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 47, 48, 50, 52, 54, 55], [1, 5, 7, 9, 11, 12, 14, 17, 19, 20, 21, 22, 25, 26, 27, 28, 29, 33, 37, 38, 41, 42, 43, 44, 45, 46, 48, 50]]","[1, 2, 3]",[nan]
OBMA,2,"(0.25, 42)","[[1, 6, 12, 14, 19, 20, 27, 32, 34, 45, 47, 48, 49], [14, 15, 16, 20, 29, 34, 36, 42, 43, 47, 48, 50, 54, 55], [1, 11, 12, 14, 17, 21, 25, 26, 28, 29, 37, 41, 46, 48, 50]]","[1, 2, 3]",[nan]
OBMA,2,"(0.125, 21)","[[1, 32, 34, 45, 47, 49], [14, 15, 20, 42, 43, 47, 50], [1, 11, 25, 28, 37, 41, 46, 50]]","[1, 2, 3]",[nan]
OBMA,3,"(0.5, 84)","[[1, 5, 6, 9, 13, 14, 15, 18, 21, 22, 28, 30, 31, 32, 33, 34, 35, 36, 38, 40, 41, 46, 47, 49, 51, 52, 53], [1, 3, 4, 8, 9, 11, 13, 14, 18, 19, 21, 24, 26, 27, 28, 30, 31, 32, 33, 34, 42, 44, 45, 46, 47, 49, 50, 55], [1, 2, 5, 8, 10, 15, 16, 17, 18, 21, 22, 24, 25, 26, 27, 30, 31, 33, 34, 35, 37, 40, 41, 44, 46, 47, 50, 54]]","[2, 1, 3]",[nan]
OBMA,3,"(0.25, 42)","[[9, 13, 14, 15, 18, 21, 31, 33, 38, 46, 49, 52, 53], [3, 8, 14, 19, 24, 26, 30, 34, 42, 44, 46, 49, 50, 55], [1, 2, 8, 15, 16, 17, 31, 33, 34, 35, 40, 44, 47, 50, 54]]","[2, 1, 3]",[nan]
