split seed,p,selection,labels
0,"(0.5, 84)","[[53, 52, 50, 49, 48, 47, 45, 42, 40, 38, 35, 34, 33, 32, 31, 30, 27, 20, 17, 16, 14, 13, 12, 11, 8, 6, 5, 4], [53, 50, 49, 48, 46, 44, 41, 40, 39, 36, 32, 29, 27, 25, 24, 21, 20, 19, 18, 17, 16, 14, 13, 8, 7, 4, 2, 1], [56, 55, 49, 48, 47, 45, 44, 42, 41, 40, 32, 31, 30, 29, 26, 25, 21, 20, 19, 16, 15, 14, 13, 10, 8, 7, 6, 2]]","[2, 3, 1]"
0,"(0.25, 42)","[[53, 52, 49, 48, 42, 40, 33, 20, 17, 14, 13, 12, 8, 5], [53, 50, 48, 46, 44, 39, 29, 27, 25, 20, 13, 7, 2, 1], [48, 47, 44, 40, 32, 30, 26, 21, 20, 15, 14, 8, 6, 2]]","[2, 3, 1]"
0,"(0.125, 21)","[[53, 48, 42, 33, 20, 17, 13], [53, 50, 48, 44, 25, 7, 1], [48, 47, 44, 32, 30, 14, 2]]","[2, 3, 1]"
1,"(0.5, 84)","[[51, 48, 47, 46, 44, 42, 41, 40, 39, 38, 33, 32, 29, 27, 26, 25, 23, 22, 19, 18, 16, 15, 11, 9, 7, 4, 1], [49, 48, 47, 46, 45, 44, 43, 42, 40, 39, 36, 34, 32, 30, 29, 26, 24, 19, 18, 17, 14, 12, 11, 9, 8, 7, 4, 3], [58, 57, 56, 54, 53, 50, 49, 48, 45, 43, 42, 41, 39, 35, 34, 33, 23, 20, 19, 15, 14, 12, 11, 10, 9, 7, 6, 5, 3]]","[3, 1, 2]"
1,"(0.25, 42)","[[51, 48, 46, 44, 41, 32, 29, 27, 19, 16, 15, 7, 1], [48, 47, 46, 39, 36, 32, 30, 26, 18, 17, 14, 12, 7, 3], [57, 56, 54, 53, 48, 45, 43, 41, 23, 20, 15, 14, 11, 6, 5]]","[3, 1, 2]"
1,"(0.125, 21)","[[51, 46, 44, 29, 27, 15, 7], [48, 47, 46, 36, 30, 18, 3], [57, 56, 53, 48, 45, 20, 14]]","[3, 1, 2]"
2,"(0.5, 84)","[[54, 53, 50, 49, 48, 47, 45, 43, 37, 35, 34, 32, 31, 30, 28, 27, 21, 20, 19, 18, 14, 12, 11, 10, 9, 7, 6, 1], [55, 54, 52, 50, 48, 47, 43, 42, 41, 40, 38, 37, 36, 35, 34, 33, 32, 29, 20, 19, 16, 15, 14, 13, 9, 7, 6, 3], [51, 50, 48, 46, 45, 44, 43, 42, 41, 38, 37, 33, 29, 28, 27, 26, 25, 22, 21, 20, 19, 17, 14, 12, 11, 9, 5, 1]]","[1, 2, 3]"
2,"(0.25, 42)","[[49, 48, 47, 34, 32, 27, 20, 19, 14, 12, 11, 9, 6, 1], [55, 54, 52, 50, 47, 43, 42, 36, 34, 20, 16, 15, 14, 7], [50, 48, 46, 41, 37, 29, 28, 26, 25, 21, 14, 12, 11, 1]]","[1, 2, 3]"
2,"(0.125, 21)","[[49, 48, 47, 34, 32, 12, 1], [55, 54, 50, 47, 43, 20, 15], [50, 46, 41, 28, 25, 11, 1]]","[1, 2, 3]"
3,"(0.5, 84)","[[53, 52, 51, 49, 47, 46, 41, 40, 38, 36, 35, 34, 33, 32, 31, 30, 28, 22, 21, 18, 17, 16, 15, 14, 13, 9, 6, 5], [55, 52, 50, 49, 47, 46, 45, 44, 42, 34, 33, 32, 31, 30, 28, 26, 24, 21, 19, 18, 15, 14, 11, 9, 8, 4, 3, 1], [54, 50, 49, 47, 46, 45, 44, 41, 40, 37, 35, 34, 33, 31, 30, 27, 26, 25, 24, 22, 21, 18, 17, 16, 15, 8, 2, 1]]","[2, 1, 3]"
3,"(0.25, 42)","[[53, 52, 51, 49, 46, 40, 38, 34, 33, 21, 15, 14, 9, 6], [55, 50, 49, 46, 42, 34, 30, 26, 24, 19, 14, 9, 8, 3], [54, 50, 47, 44, 40, 35, 34, 33, 31, 16, 15, 8, 2, 1]]","[2, 1, 3]"
3,"(0.125, 21)","[[53, 52, 49, 34, 15, 14, 9], [50, 49, 42, 34, 30, 8, 3], [54, 50, 33, 31, 15, 8, 1]]","[2, 1, 3]"
4,"(0.5, 84)","[[54, 53, 51, 49, 46, 43, 41, 40, 39, 37, 36, 35, 34, 33, 32, 30, 23, 22, 20, 19, 15, 14, 13, 9, 8, 5, 4, 2], [55, 54, 49, 48, 47, 45, 44, 43, 41, 40, 34, 33, 31, 29, 27, 26, 25, 21, 19, 18, 17, 16, 13, 11, 10, 8, 6, 5], [55, 52, 51, 49, 47, 44, 43, 40, 37, 33, 32, 31, 29, 28, 25, 24, 23, 21, 20, 18, 16, 15, 12, 9, 7, 6, 1, 0]]","[2, 1, 3]"
4,"(0.25, 42)","[[53, 51, 49, 43, 41, 39, 35, 34, 22, 20, 15, 14, 9, 4], [49, 48, 47, 44, 40, 33, 29, 27, 18, 17, 13, 11, 8, 6], [55, 52, 51, 49, 47, 40, 33, 31, 29, 28, 15, 7, 1, 0]]","[2, 1, 3]"
4,"(0.125, 21)","[[53, 51, 49, 43, 41, 20, 15], [49, 48, 47, 33, 27, 13, 11], [55, 51, 47, 29, 15, 7, 0]]","[2, 1, 3]"
5,"(0.5, 84)","[[53, 47, 46, 45, 43, 42, 41, 40, 38, 32, 31, 30, 29, 27, 26, 23, 19, 18, 17, 16, 13, 11, 10, 7, 5, 4, 3], [52, 49, 47, 46, 44, 41, 40, 39, 38, 36, 34, 33, 31, 29, 28, 24, 23, 22, 21, 20, 17, 16, 15, 14, 12, 8, 2, 1], [57, 55, 54, 53, 52, 50, 49, 48, 43, 41, 38, 37, 36, 35, 34, 33, 32, 30, 23, 20, 19, 16, 15, 14, 13, 9, 6, 5, 3]]","[1, 3, 2]"
5,"(0.25, 42)","[[53, 46, 45, 42, 38, 31, 29, 27, 18, 17, 13, 11, 5, 3], [52, 49, 47, 46, 44, 33, 31, 29, 28, 24, 14, 8, 2, 1], [57, 55, 54, 52, 48, 35, 23, 20, 16, 15, 14, 9, 6, 5]]","[1, 3, 2]"
5,"(0.125, 21)","[[46, 45, 31, 27, 17, 13, 11], [52, 47, 44, 31, 29, 14, 8], [57, 55, 52, 23, 20, 15, 14]]","[1, 3, 2]"
6,"(0.5, 84)","[[53, 52, 50, 49, 47, 45, 42, 41, 39, 38, 36, 35, 34, 33, 32, 28, 21, 19, 18, 15, 14, 13, 12, 10, 9, 5, 4, 3], [55, 49, 48, 47, 46, 44, 43, 42, 40, 39, 32, 31, 30, 27, 26, 23, 22, 18, 17, 14, 12, 11, 10, 9, 8, 4, 3, 2], [55, 53, 52, 50, 48, 46, 45, 44, 41, 40, 36, 32, 30, 29, 26, 25, 24, 22, 21, 20, 19, 17, 16, 11, 9, 6, 2, 1]]","[2, 1, 3]"
6,"(0.25, 42)","[[53, 52, 49, 47, 45, 42, 41, 35, 21, 19, 15, 14, 13, 4], [48, 47, 46, 44, 39, 32, 27, 22, 18, 17, 12, 10, 8, 3], [55, 52, 50, 48, 44, 40, 30, 29, 26, 19, 16, 9, 2, 1]]","[2, 1, 3]"
6,"(0.125, 21)","[[53, 52, 47, 42, 19, 14, 13], [48, 47, 46, 39, 32, 27, 3], [55, 52, 48, 40, 30, 16, 9]]","[2, 1, 3]"
7,"(0.5, 84)","[[49, 48, 47, 44, 42, 41, 40, 34, 31, 30, 29, 28, 24, 23, 22, 20, 17, 16, 14, 13, 11, 10, 9, 7, 5, 2, 1], [56, 55, 50, 49, 48, 47, 46, 45, 44, 38, 37, 36, 35, 34, 33, 31, 30, 27, 25, 21, 20, 19, 17, 16, 14, 13, 10, 8, 3], [55, 54, 52, 51, 49, 47, 43, 41, 40, 39, 36, 35, 34, 33, 32, 31, 29, 22, 19, 16, 15, 14, 10, 9, 8, 6, 5, 2]]","[3, 1, 2]"
7,"(0.25, 42)","[[49, 47, 44, 40, 34, 31, 30, 28, 17, 16, 14, 7, 2, 1], [56, 50, 49, 47, 44, 37, 33, 31, 27, 20, 16, 14, 8, 3], [55, 54, 51, 49, 43, 41, 34, 33, 32, 22, 19, 15, 10, 5]]","[3, 1, 2]"
7,"(0.125, 21)","[[49, 47, 44, 40, 14, 7, 1], [50, 49, 47, 37, 31, 8, 3], [55, 54, 49, 43, 33, 19, 15]]","[3, 1, 2]"
8,"(0.5, 84)","[[52, 48, 47, 45, 44, 43, 42, 39, 38, 34, 33, 30, 29, 28, 27, 26, 25, 23, 22, 21, 20, 18, 17, 13, 10, 6, 2, 1], [55, 49, 48, 47, 45, 44, 43, 42, 40, 36, 35, 33, 32, 31, 30, 28, 26, 21, 20, 19, 15, 13, 12, 9, 7, 6, 5, 3], [56, 55, 53, 51, 49, 48, 47, 43, 41, 40, 39, 37, 35, 34, 33, 32, 31, 29, 19, 15, 14, 13, 12, 7, 6, 5, 2, 1]]","[3, 1, 2]"
8,"(0.25, 42)","[[52, 48, 45, 38, 30, 29, 27, 26, 25, 22, 20, 13, 2, 1], [49, 48, 47, 35, 32, 28, 21, 20, 15, 13, 7, 6, 5, 3], [56, 55, 53, 51, 47, 43, 41, 39, 33, 15, 14, 13, 7, 6]]","[3, 1, 2]"
8,"(0.125, 21)","[[52, 48, 26, 22, 13, 2, 1], [49, 48, 47, 35, 32, 5, 3], [56, 53, 51, 43, 15, 14, 13]]","[3, 1, 2]"
9,"(0.5, 84)","[[51, 50, 49, 47, 45, 43, 41, 40, 38, 35, 34, 33, 32, 31, 29, 21, 18, 17, 16, 14, 13, 11, 9, 7, 6, 3], [56, 51, 50, 49, 47, 46, 44, 43, 37, 36, 35, 34, 33, 31, 30, 27, 25, 20, 19, 18, 17, 14, 13, 11, 9, 8, 4, 3, 1], [56, 52, 51, 49, 47, 44, 43, 42, 39, 38, 32, 31, 30, 28, 27, 24, 23, 22, 21, 19, 18, 15, 14, 12, 11, 8, 5, 4, 2]]","[2, 1, 3]"
9,"(0.25, 42)","[[50, 49, 45, 43, 41, 38, 35, 34, 21, 18, 14, 13, 11], [50, 49, 47, 43, 33, 31, 27, 19, 18, 14, 13, 9, 8, 3], [56, 52, 51, 47, 42, 38, 32, 31, 30, 28, 24, 14, 12, 11, 5]]","[2, 1, 3]"
9,"(0.125, 21)","[[50, 45, 43, 35, 18, 14, 11], [50, 49, 31, 27, 18, 14, 3], [56, 52, 51, 47, 32, 28, 11]]","[2, 1, 3]"
10,"(0.5, 84)","[[51, 49, 48, 46, 44, 43, 41, 39, 38, 37, 35, 34, 33, 32, 31, 28, 20, 17, 16, 15, 14, 13, 10, 9, 8, 6, 5], [54, 51, 50, 49, 47, 45, 44, 43, 40, 39, 35, 32, 31, 30, 29, 28, 27, 24, 23, 22, 21, 20, 17, 16, 14, 13, 9, 7, 1], [57, 56, 50, 49, 47, 45, 43, 37, 36, 35, 34, 33, 32, 31, 30, 27, 26, 22, 21, 20, 19, 16, 14, 11, 9, 8, 7, 3]]","[2, 3, 1]"
10,"(0.25, 42)","[[51, 48, 46, 43, 39, 38, 37, 20, 17, 16, 14, 13, 9], [54, 51, 50, 49, 47, 43, 32, 31, 29, 28, 23, 13, 7, 1], [57, 49, 36, 33, 32, 31, 26, 21, 20, 16, 14, 11, 9, 7, 3]]","[2, 3, 1]"
10,"(0.125, 21)","[[51, 46, 39, 17, 16, 14, 9], [54, 51, 50, 47, 13, 7, 1], [49, 36, 33, 32, 20, 14, 3]]","[2, 3, 1]"
11,"(0.5, 84)","[[54, 50, 49, 48, 46, 45, 44, 43, 41, 40, 33, 32, 31, 30, 29, 27, 26, 24, 23, 21, 16, 15, 11, 10, 9, 8, 5, 2], [54, 53, 52, 50, 49, 48, 46, 41, 40, 39, 37, 35, 34, 33, 32, 31, 30, 21, 19, 18, 14, 13, 12, 7, 5, 4, 3, 1], [55, 51, 50, 48, 45, 44, 43, 40, 37, 33, 32, 31, 30, 28, 27, 24, 23, 22, 21, 20, 18, 15, 14, 13, 12, 8, 6, 0]]","[1, 2, 3]"
11,"(0.25, 42)","[[50, 49, 48, 45, 40, 32, 29, 27, 23, 16, 10, 9, 5, 2], [53, 52, 50, 49, 46, 41, 39, 33, 31, 21, 19, 14, 13, 4], [55, 50, 48, 43, 37, 33, 32, 30, 28, 23, 14, 12, 6, 0]]","[1, 2, 3]"
11,"(0.125, 21)","[[50, 49, 48, 40, 27, 5, 2], [53, 52, 49, 19, 14, 13, 4], [55, 50, 48, 32, 28, 12, 0]]","[1, 2, 3]"
12,"(0.5, 84)","[[52, 51, 47, 46, 45, 44, 42, 41, 40, 38, 34, 33, 32, 31, 30, 29, 27, 26, 23, 18, 17, 16, 13, 11, 8, 6, 5], [52, 51, 50, 48, 46, 44, 43, 42, 40, 39, 38, 37, 33, 32, 31, 29, 27, 26, 25, 24, 22, 21, 19, 17, 16, 12, 8, 2, 1], [56, 54, 53, 51, 49, 48, 45, 43, 42, 40, 37, 36, 35, 34, 33, 31, 30, 21, 18, 17, 14, 13, 12, 10, 8, 7, 6, 3]]","[1, 3, 2]"
12,"(0.25, 42)","[[46, 45, 44, 41, 38, 33, 29, 27, 23, 17, 16, 13, 6], [51, 48, 46, 43, 42, 33, 32, 29, 26, 17, 16, 8, 2, 1], [56, 54, 53, 51, 48, 45, 36, 35, 34, 21, 18, 17, 14, 13, 7]]","[1, 3, 2]"
