split seed,selection seed,p,selection,labels
0,0,"(0.5, 84)","[[45, 33, 40, 26, 11, 2, 32, 43, 46, 30, 4, 10, 28, 22, 31, 49, 37, 7, 14, 27, 35, 50, 18, 52, 34, 15, 5, 29], [45, 33, 40, 26, 11, 2, 32, 43, 46, 30, 4, 10, 28, 22, 31, 49, 37, 7, 14, 27, 35, 50, 18, 52, 34, 15, 5, 29], [35, 34, 41, 27, 11, 2, 33, 56, 22, 55, 4, 10, 29, 50, 32, 40, 37, 7, 14, 31, 28, 46, 51, 18, 54, 26, 15, 5]]","[2, 3, 1]"
0,0,"(0.25, 42)","[[45, 33, 40, 26, 11, 2, 32, 43, 46, 30, 4, 10, 28, 22], [45, 33, 40, 26, 11, 2, 32, 43, 46, 30, 4, 10, 28, 22], [35, 34, 41, 27, 11, 2, 33, 56, 22, 55, 4, 10, 29, 50]]","[2, 3, 1]"
0,0,"(0.125, 21)","[[45, 33, 40, 26, 11, 2, 32], [45, 33, 40, 26, 11, 2, 32], [35, 34, 41, 27, 11, 2, 33]]","[2, 3, 1]"
0,1,"(0.5, 84)","[[30, 2, 26, 53, 35, 31, 48, 41, 32, 19, 47, 36, 10, 3, 40, 45, 51, 24, 44, 42, 21, 27, 13, 22, 46, 34, 17, 50], [44, 2, 46, 19, 32, 33, 36, 39, 49, 42, 48, 21, 38, 41, 10, 3, 24, 52, 35, 26, 45, 54, 27, 34, 13, 22, 47, 30], [47, 2, 34, 45, 38, 33, 40, 19, 21, 50, 55, 3, 26, 39, 36, 10, 49, 42, 53, 35, 27, 46, 44, 24, 30, 13, 22, 48]]","[2, 3, 1]"
0,1,"(0.25, 42)","[[30, 2, 26, 53, 35, 31, 48, 41, 32, 19, 47, 36, 10, 3], [44, 2, 46, 19, 32, 33, 36, 39, 49, 42, 48, 21, 38, 41], [47, 2, 34, 45, 38, 33, 40, 19, 21, 50, 55, 3, 26, 39]]","[2, 3, 1]"
0,1,"(0.125, 21)","[[30, 2, 26, 53, 35, 31, 48], [44, 2, 46, 19, 32, 33, 36], [47, 2, 34, 45, 38, 33, 40]]","[2, 3, 1]"
0,2,"(0.5, 84)","[[32, 27, 44, 42, 41, 0, 28, 1, 46, 13, 9, 10, 39, 51, 50, 23, 52, 17, 53, 30, 48, 12, 29, 38, 16, 2, 25, 19], [35, 50, 53, 32, 51, 27, 0, 29, 1, 42, 28, 9, 10, 13, 47, 52, 23, 46, 17, 54, 41, 49, 12, 30, 39, 16, 2, 25], [44, 29, 35, 51, 23, 46, 28, 0, 30, 1, 52, 41, 9, 10, 13, 27, 53, 36, 47, 17, 55, 32, 50, 12, 42, 48, 16, 2]]","[2, 3, 1]"
0,2,"(0.25, 42)","[[32, 27, 44, 42, 41, 0, 28, 1, 46, 13, 9, 10, 39, 51], [35, 50, 53, 32, 51, 27, 0, 29, 1, 42, 28, 9, 10, 13], [44, 29, 35, 51, 23, 46, 28, 0, 30, 1, 52, 41, 9, 10]]","[2, 3, 1]"
0,2,"(0.125, 21)","[[32, 27, 44, 42, 41, 0, 28], [35, 50, 53, 32, 51, 27, 0], [44, 29, 35, 51, 23, 46, 28]]","[2, 3, 1]"
0,3,"(0.5, 84)","[[12, 34, 9, 52, 40, 45, 13, 25, 50, 6, 46, 18, 36, 30, 53, 4, 27, 16, 15, 23, 11, 7, 44, 39, 54, 51, 5, 35], [12, 34, 9, 53, 46, 55, 13, 25, 51, 6, 44, 18, 36, 30, 54, 4, 27, 16, 15, 23, 11, 7, 45, 40, 47, 52, 5, 35], [13, 28, 45, 54, 31, 25, 18, 56, 33, 9, 35, 52, 6, 23, 12, 4, 27, 37, 47, 16, 15, 30, 11, 7, 55, 46, 48, 40]]","[2, 3, 1]"
0,3,"(0.25, 42)","[[12, 34, 9, 52, 40, 45, 13, 25, 50, 6, 46, 18, 36, 30], [12, 34, 9, 53, 46, 55, 13, 25, 51, 6, 44, 18, 36, 30], [13, 28, 45, 54, 31, 25, 18, 56, 33, 9, 35, 52, 6, 23]]","[2, 3, 1]"
0,3,"(0.125, 21)","[[12, 34, 9, 52, 40, 45, 13], [12, 34, 9, 53, 46, 55, 13], [13, 28, 45, 54, 31, 25, 18]]","[2, 3, 1]"
