Method,Type,hypothesis,statistic,p-value
rdm_maha,3-0.5,Different,285.0,0.0006665542013081733
rdm_maha,3-0.5,Better,990.0,0.00033327710065408667
rdm_maha,3-0.5,Worst,990.0,0.9996667228993459
rdm_maha,3-0.25,Different,485.0,0.14095240214305826
rdm_maha,3-0.25,Better,790.0,0.07047620107152913
rdm_maha,3-0.25,Worst,790.0,0.9295237989284708
rdm_maha,3-0.125,Different,302.0,0.001199593155681747
rdm_maha,3-0.125,Better,973.0,0.0005997965778408736
rdm_maha,3-0.125,Worst,973.0,0.9994002034221591
rdm_maha,5-0.5,Different,494.0,0.16596261843401472
rdm_maha,5-0.5,Better,781.0,0.08298130921700736
rdm_maha,5-0.5,Worst,781.0,0.9170186907829927
rdm_maha,5-0.25,Different,546.5,0.37965326407234967
rdm_maha,5-0.25,Better,546.5,0.8101733679638252
rdm_maha,5-0.25,Worst,546.5,0.18982663203617484
rdm_maha,5-0.125,Different,509.5,0.2165678530769679
rdm_maha,5-0.125,Better,509.5,0.891716073461516
rdm_maha,5-0.125,Worst,509.5,0.10828392653848395
rdm_maha,10-0.5,Different,477.0,0.12126479054358391
rdm_maha,10-0.5,Better,798.0,0.060632395271791956
rdm_maha,10-0.5,Worst,798.0,0.939367604728208
rdm_maha,10-0.25,Different,504.5,0.19914518796938452
rdm_maha,10-0.25,Better,770.5,0.09957259398469226
rdm_maha,10-0.25,Worst,770.5,0.9004274060153077
rdm_maha,10-0.125,Different,630.0,0.9422761916427199
rdm_maha,10-0.125,Better,630.0,0.52886190417864
rdm_maha,10-0.125,Worst,630.0,0.47113809582135996
random,3-0.5,Different,344.5,0.0046750873039939685
random,3-0.5,Better,930.5,0.0023375436519969843
random,3-0.5,Worst,930.5,0.997662456348003
random,3-0.25,Different,389.0,0.01643832676075666
random,3-0.25,Better,886.0,0.00821916338037833
random,3-0.25,Worst,886.0,0.9917808366196217
random,3-0.125,Different,267.5,0.00035434395941089314
random,3-0.125,Better,1007.5,0.00017717197970544657
random,3-0.125,Worst,1007.5,0.9998228280202945
random,5-0.5,Different,558.5,0.44567275826513
random,5-0.5,Better,716.5,0.222836379132565
random,5-0.5,Worst,716.5,0.7771636208674351
random,5-0.25,Different,541.5,0.354015784145974
random,5-0.25,Better,541.5,0.822992107927013
random,5-0.25,Worst,541.5,0.177007892072987
random,5-0.125,Different,610.5,0.794354885983993
random,5-0.125,Better,664.5,0.3971774429919965
random,5-0.125,Worst,664.5,0.6028225570080035
random,10-0.5,Different,395.5,0.019475739074064333
random,10-0.5,Better,879.5,0.009737869537032167
random,10-0.5,Worst,879.5,0.9902621304629678
random,10-0.25,Different,478.5,0.12477151582022708
random,10-0.25,Better,796.5,0.06238575791011354
random,10-0.25,Worst,796.5,0.9376142420898864
random,10-0.125,Different,583.0,0.5987629356099734
random,10-0.125,Better,692.0,0.2993814678049867
random,10-0.125,Worst,692.0,0.7006185321950134
mahalanobis,3-0.5,Different,596.5,0.6778811004694879
mahalanobis,3-0.5,Better,596.5,0.661059449765256
mahalanobis,3-0.5,Worst,596.5,0.33894055023474395
mahalanobis,3-0.25,Different,550.5,0.3741060429419767
mahalanobis,3-0.25,Better,724.5,0.18705302147098835
mahalanobis,3-0.25,Worst,724.5,0.8129469785290117
mahalanobis,3-0.125,Different,635.0,0.9794192341737585
mahalanobis,3-0.125,Better,635.0,0.5102903829131208
mahalanobis,3-0.125,Worst,635.0,0.48970961708687927
mahalanobis,5-0.5,Different,552.5,0.3848627494737896
mahalanobis,5-0.5,Better,552.5,0.8075686252631051
mahalanobis,5-0.5,Worst,552.5,0.1924313747368948
mahalanobis,5-0.25,Different,635.5,0.9833475265888142
mahalanobis,5-0.25,Better,639.5,0.4916737632944071
mahalanobis,5-0.25,Worst,639.5,0.508326236705593
mahalanobis,5-0.125,Different,529.5,0.2674656334228136
mahalanobis,5-0.125,Better,745.5,0.1337328167114068
mahalanobis,5-0.125,Worst,745.5,0.8662671832885932
mahalanobis,10-0.5,Different,554.5,0.40054151134347704
mahalanobis,10-0.5,Better,720.5,0.20027075567173852
mahalanobis,10-0.5,Worst,720.5,0.7997292443282615
mahalanobis,10-0.25,Different,616.5,0.8255168331991403
mahalanobis,10-0.25,Better,658.5,0.41275841659957013
mahalanobis,10-0.25,Worst,658.5,0.5872415834004299
mahalanobis,10-0.125,Different,572.5,0.5045757243099844
mahalanobis,10-0.125,Better,702.5,0.2522878621549922
mahalanobis,10-0.125,Worst,702.5,0.7477121378450078
