accuracy,k,dataset,split seed
0.9666666666666667,3,Iris,0
0.9666666666666667,5,Iris,0
1.0,10,Iris,0
0.9666666666666667,3,Iris,1
1.0,5,Iris,1
0.9666666666666667,10,Iris,1
0.9333333333333333,3,Iris,2
0.9333333333333333,5,Iris,2
0.9666666666666667,10,Iris,2
0.9666666666666667,3,Iris,3
0.9333333333333333,5,Iris,3
0.9333333333333333,10,Iris,3
0.9666666666666667,3,Iris,4
0.9666666666666667,5,Iris,4
1.0,10,Iris,4
0.9,3,Iris,5
0.9,5,Iris,5
0.9,10,Iris,5
0.9666666666666667,3,Iris,6
0.9666666666666667,5,Iris,6
0.9666666666666667,10,Iris,6
0.9666666666666667,3,Iris,7
0.9666666666666667,5,Iris,7
0.9666666666666667,10,Iris,7
1.0,3,Iris,8
1.0,5,Iris,8
0.9666666666666667,10,Iris,8
0.9666666666666667,3,Iris,9
0.9333333333333333,5,Iris,9
0.8666666666666667,10,Iris,9
0.9333333333333333,3,Iris,10
0.9333333333333333,5,Iris,10
0.9666666666666667,10,Iris,10
0.9666666666666667,3,Iris,11
0.9666666666666667,5,Iris,11
0.9333333333333333,10,Iris,11
0.9333333333333333,3,Iris,12
0.9333333333333333,5,Iris,12
0.9666666666666667,10,Iris,12
0.9666666666666667,3,Iris,13
1.0,5,Iris,13
1.0,10,Iris,13
1.0,3,Iris,14
1.0,5,Iris,14
1.0,10,Iris,14
1.0,3,Iris,15
1.0,5,Iris,15
1.0,10,Iris,15
0.9333333333333333,3,Iris,16
0.9333333333333333,5,Iris,16
0.9666666666666667,10,Iris,16
0.9666666666666667,3,Iris,17
0.9666666666666667,5,Iris,17
0.9333333333333333,10,Iris,17
0.9666666666666667,3,Iris,18
0.9,5,Iris,18
0.9,10,Iris,18
0.9333333333333333,3,Iris,19
0.9666666666666667,5,Iris,19
1.0,10,Iris,19
0.9333333333333333,3,Iris,20
0.9666666666666667,5,Iris,20
0.9666666666666667,10,Iris,20
0.9666666666666667,3,Iris,21
0.9333333333333333,5,Iris,21
0.9666666666666667,10,Iris,21
0.9666666666666667,3,Iris,22
0.9666666666666667,5,Iris,22
0.9666666666666667,10,Iris,22
0.9666666666666667,3,Iris,23
1.0,5,Iris,23
0.9333333333333333,10,Iris,23
0.9666666666666667,3,Iris,24
0.9666666666666667,5,Iris,24
1.0,10,Iris,24
1.0,3,Iris,25
1.0,5,Iris,25
1.0,10,Iris,25
0.9666666666666667,3,Iris,26
0.9666666666666667,5,Iris,26
0.9666666666666667,10,Iris,26
0.9666666666666667,3,Iris,27
0.9666666666666667,5,Iris,27
0.9333333333333333,10,Iris,27
0.8666666666666667,3,Iris,28
0.8666666666666667,5,Iris,28
0.9333333333333333,10,Iris,28
0.9666666666666667,3,Iris,29
0.9666666666666667,5,Iris,29
0.9333333333333333,10,Iris,29
0.9333333333333333,3,Iris,30
0.9333333333333333,5,Iris,30
0.9666666666666667,10,Iris,30
0.9333333333333333,3,Iris,31
0.9666666666666667,5,Iris,31
0.9666666666666667,10,Iris,31
0.9666666666666667,3,Iris,32
0.9666666666666667,5,Iris,32
0.9666666666666667,10,Iris,32
0.9666666666666667,3,Iris,33
0.9666666666666667,5,Iris,33
0.9666666666666667,10,Iris,33
0.9666666666666667,3,Iris,34
0.9666666666666667,5,Iris,34
0.9666666666666667,10,Iris,34
1.0,3,Iris,35
1.0,5,Iris,35
